station,valid,metar
ZBAA,2021-01-01 00:00,ZBAA 010000Z VRB01MPS CAVOK M14/M19 Q1026 NOSIG
ZBAA,2021-01-01 00:30,ZBAA 010030Z 02002MPS 340V070 CAVOK M12/M19 Q1026 NOSIG
ZBAA,2021-01-01 01:00,ZBAA 010100Z VRB01MPS CAVOK M09/M17 Q1027 NOSIG
ZBAA,2021-01-01 01:30,ZBAA 010130Z VRB01MPS CAVOK M07/M17 Q1027 NOSIG
ZBAA,2021-01-01 02:00,ZBAA 010200Z VRB01MPS CAVOK M05/M17 Q1027 NOSIG
ZBAA,2021-01-01 02:30,ZBAA 010230Z VRB01MPS CAVOK M04/M18 Q1027 NOSIG
ZBAA,2021-01-01 03:00,ZBAA 010300Z VRB01MPS CAVOK M04/M19 Q1027 NOSIG
ZBAA,2021-01-01 03:30,ZBAA 010330Z VRB01MPS CAVOK M03/M18 Q1026 NOSIG
ZBAA,2021-01-01 04:00,ZBAA 010400Z VRB01MPS CAVOK M02/M18 Q1026 NOSIG
ZBAA,2021-01-01 04:30,ZBAA 010430Z VRB01MPS CAVOK M02/M18 Q1025 NOSIG
ZBAA,2021-01-01 05:00,ZBAA 010500Z VRB01MPS CAVOK M01/M19 Q1025 NOSIG
ZBAA,2021-01-01 05:30,ZBAA 010530Z VRB01MPS CAVOK M01/M19 Q1024 NOSIG
ZBAA,2021-01-01 06:00,ZBAA 010600Z VRB01MPS CAVOK 00/M22 Q1024 NOSIG
ZBAA,2021-01-01 06:30,ZBAA 010630Z VRB01MPS CAVOK 01/M21 Q1024 NOSIG
ZBAA,2021-01-01 07:00,ZBAA 010700Z VRB01MPS CAVOK 01/M23 Q1024 NOSIG
ZBAA,2021-01-01 07:30,ZBAA 010730Z VRB01MPS CAVOK 01/M23 Q1024 NOSIG
ZBAA,2021-01-01 08:00,ZBAA 010800Z 19002MPS 160V220 CAVOK 00/M22 Q1024 NOSIG
ZBAA,2021-01-01 08:30,ZBAA 010830Z 11001MPS CAVOK M01/M20 Q1025 NOSIG
ZBAA,2021-01-01 09:00,ZBAA 010900Z 10001MPS CAVOK M03/M20 Q1025 NOSIG
ZBAA,2021-01-01 09:30,ZBAA 010930Z 00000MPS CAVOK M04/M20 Q1025 NOSIG
ZBAA,2021-01-01 10:00,ZBAA 011000Z 07001MPS CAVOK M06/M19 Q1025 NOSIG
ZBAA,2021-01-01 10:30,ZBAA 011030Z 06001MPS CAVOK M08/M19 Q1026 NOSIG
ZBAA,2021-01-01 11:00,ZBAA 011100Z 05001MPS CAVOK M09/M20 Q1026 NOSIG
ZBAA,2021-01-01 11:30,ZBAA 011130Z 04001MPS CAVOK M09/M19 Q1027 NOSIG
ZBAA,2021-01-01 12:00,ZBAA 011200Z 04002MPS CAVOK M08/M19 Q1027 NOSIG
ZBAA,2021-01-01 12:30,ZBAA 011230Z 05001MPS CAVOK M09/M18 Q1027 NOSIG
ZBAA,2021-01-01 13:00,ZBAA 011300Z VRB01MPS CAVOK M10/M19 Q1028 NOSIG
ZBAA,2021-01-01 13:30,ZBAA 011330Z VRB01MPS CAVOK M10/M19 Q1028 NOSIG
ZBAA,2021-01-01 14:00,ZBAA 011400Z 00000MPS CAVOK M10/M19 Q1028 NOSIG
ZBAA,2021-01-01 14:30,ZBAA 011430Z 07002MPS CAVOK M09/M19 Q1029 NOSIG
ZBAA,2021-01-01 15:00,ZBAA 011500Z 07002MPS 040V100 CAVOK M07/M15 Q1029 NOSIG
ZBAA,2021-01-01 15:30,ZBAA 011530Z VRB01MPS CAVOK M07/M13 Q1029 NOSIG
ZBAA,2021-01-01 16:00,ZBAA 011600Z 10002MPS 060V130 CAVOK M07/M11 Q1029 NOSIG
ZBAA,2021-01-01 16:30,ZBAA 011630Z 11002MPS CAVOK M08/M11 Q1029 NOSIG
ZBAA,2021-01-01 17:00,ZBAA 011700Z 12002MPS CAVOK M07/M11 Q1029 NOSIG
ZBAA,2021-01-01 17:30,ZBAA 011730Z 07001MPS CAVOK M08/M11 Q1029 NOSIG
ZBAA,2021-01-01 18:00,ZBAA 011800Z VRB01MPS CAVOK M09/M11 Q1030 NOSIG
ZBAA,2021-01-01 18:30,ZBAA 011830Z 36001MPS CAVOK M12/M15 Q1030 NOSIG
ZBAA,2021-01-01 19:00,ZBAA 011900Z 35001MPS CAVOK M12/M14 Q1030 NOSIG
ZBAA,2021-01-01 19:30,ZBAA 011930Z 34001MPS CAVOK M12/M14 Q1030 NOSIG
ZBAA,2021-01-01 20:00,ZBAA 012000Z 35001MPS CAVOK M14/M16 Q1030 NOSIG
ZBAA,2021-01-01 20:30,ZBAA 012030Z VRB01MPS CAVOK M12/M14 Q1030 NOSIG
ZBAA,2021-01-01 21:00,ZBAA 012100Z 35002MPS CAVOK M13/M16 Q1030 NOSIG
ZBAA,2021-01-01 21:30,ZBAA 012130Z 36002MPS CAVOK M12/M14 Q1030 NOSIG
ZBAA,2021-01-01 22:00,ZBAA 012200Z 01001MPS CAVOK M11/M13 Q1030 NOSIG
ZBAA,2021-01-01 22:30,ZBAA 012230Z VRB01MPS CAVOK M09/M11 Q1031 NOSIG
ZBAA,2021-01-01 23:00,ZBAA 012300Z VRB01MPS CAVOK M08/M11 Q1031 NOSIG
ZBAA,2021-01-01 23:30,ZBAA 012330Z 35002MPS CAVOK M07/M10 Q1031 NOSIG
ZBAA,2021-01-02 00:00,ZBAA 020000Z 01002MPS 290V080 8000 NSC M07/M10 Q1032 NOSIG
ZBAA,2021-01-02 00:30,ZBAA 020030Z 33002MPS 8000 NSC M07/M10 Q1032 NOSIG
