station,valid,metar
ZBAD,2019-09-06 01:00,ZBAD 060100Z VRB01MPS 7000 NSC 27/18 Q1009 NOSIG
ZBAD,2019-09-06 01:30,ZBAD 060130Z VRB01MPS 7000 NSC 27/18 Q1008 NOSIG
ZBAD,2019-09-06 02:00,ZBAD 060200Z VRB01MPS CAVOK 30/17 Q1008 NOSIG
ZBAD,2019-09-06 02:30,ZBAD 060230Z VRB01MPS CAVOK 30/17 Q1008 NOSIG
ZBAD,2019-09-06 03:00,ZBAD 060300Z 26002MPS 190V320 CAVOK 30/17 Q1008 NOSIG
ZBAD,2019-09-06 03:30,ZBAD 060330Z 31002MPS 230V030 CAVOK 31/17 Q1008 NOSIG
ZBAD,2019-09-06 04:00,ZBAD 060400Z VRB01MPS CAVOK 32/17 Q1007 NOSIG
ZBAD,2019-09-06 04:30,ZBAD 060430Z VRB03MPS CAVOK 32/16 Q1007 NOSIG
ZBAD,2019-09-06 05:00,ZBAD 060500Z 25003MPS 200V290 CAVOK 32/16 Q1007 NOSIG
ZBAD,2019-09-06 05:30,ZBAD 060530Z VRB03MPS CAVOK 32/17 Q1006 NOSIG
ZBAD,2019-09-06 06:00,ZBAD 060600Z 22002MPS 170V320 CAVOK 33/16 Q1006 NOSIG
ZBAD,2019-09-06 06:30,ZBAD 060630Z 23003MPS 190V300 CAVOK 33/15 Q1006 NOSIG
ZBAD,2019-09-06 07:00,ZBAD 060700Z 18002MPS 050V220 CAVOK 33/15 Q1006 NOSIG
ZBAD,2019-09-06 07:30,ZBAD 060730Z 23002MPS 170V270 CAVOK 33/15 Q1006 NOSIG
ZBAD,2019-09-07 02:00,ZBAD 070200Z 01002MPS 330V060 5000 HZ NSC 28/19 Q1004 NOSIG
ZBAD,2019-09-07 02:30,ZBAD 070230Z VRB02MPS 5000 HZ NSC 30/19 Q1004 NOSIG
ZBAD,2019-09-07 03:00,ZBAD 070300Z VRB01MPS 8000 NSC 31/19 Q1003 NOSIG
ZBAD,2019-09-07 03:30,ZBAD 070330Z 27002MPS 230V310 9000 NSC 32/19 Q1003 NOSIG
ZBAD,2019-09-07 04:00,ZBAD 070400Z 27002MPS 170V330 CAVOK 33/17 Q1002 NOSIG
ZBAD,2019-09-07 04:30,ZBAD 070430Z 27002MPS 180V340 CAVOK 33/17 Q1002 NOSIG
ZBAD,2019-09-07 05:00,ZBAD 070500Z 33003MPS 300V020 CAVOK 34/16 Q1001 NOSIG
ZBAD,2019-09-07 05:30,ZBAD 070530Z 26003MPS 190V290 CAVOK 34/17 Q1001 NOSIG
ZBAD,2019-09-07 06:00,ZBAD 070600Z 26003MPS 180V310 CAVOK 34/16 Q1000 NOSIG
ZBAD,2019-09-07 06:30,ZBAD 070630Z 27002MPS 190V350 CAVOK 35/16 Q1000 NOSIG
ZBAD,2019-09-07 07:00,ZBAD 070700Z 24002MPS 160V300 CAVOK 35/16 Q1000 NOSIG
ZBAD,2019-09-07 07:30,ZBAD 070730Z 23004MPS CAVOK 34/17 Q1000 NOSIG
ZBAD,2019-09-08 01:30,ZBAD 080130Z 05002MPS CAVOK 29/18 Q1005 NOSIG
ZBAD,2019-09-08 02:00,ZBAD 080200Z 07002MPS 030V100 CAVOK 30/18 Q1005 NOSIG
ZBAD,2019-09-08 02:30,ZBAD 080230Z 05003MPS CAVOK 31/18 Q1005 NOSIG
ZBAD,2019-09-08 03:00,ZBAD 080300Z 07002MPS 030V100 CAVOK 32/17 Q1005 NOSIG
ZBAD,2019-09-08 03:30,ZBAD 080330Z 08002MPS 040V110 CAVOK 33/17 Q1005 NOSIG
ZBAD,2019-09-08 04:00,ZBAD 080400Z 08002MPS 010V130 CAVOK 34/17 Q1005 NOSIG
ZBAD,2019-09-08 04:30,ZBAD 080430Z 09002MPS 050V130 CAVOK 34/17 Q1004 NOSIG
ZBAD,2019-09-08 05:00,ZBAD 080500Z VRB02MPS CAVOK 35/16 Q1004 NOSIG
ZBAD,2019-09-08 05:30,ZBAD 080530Z VRB01MPS CAVOK 36/17 Q1004 NOSIG
ZBAD,2019-09-08 06:00,ZBAD 080600Z VRB02MPS CAVOK 35/16 Q1004 NOSIG
ZBAD,2019-09-08 06:30,ZBAD 080630Z 12003MPS 060V200 CAVOK 37/16 Q1003 NOSIG
ZBAD,2019-09-08 07:00,ZBAD 080700Z 13003MPS CAVOK 36/15 Q1003 NOSIG
ZBAD,2019-09-08 07:30,ZBAD 080730Z 19004MPS 150V220 CAVOK 36/17 Q1004 NOSIG
ZBAD,2019-09-09 01:30,ZBAD 090130Z 05003MPS 6000 NSC 28/20 Q1010 NOSIG
ZBAD,2019-09-09 02:00,ZBAD 090200Z 05002MPS 360V090 6000 NSC 29/20 Q1011 NOSIG
ZBAD,2019-09-09 02:30,ZBAD 090230Z 06003MPS 010V100 6000 NSC 29/20 Q1010 NOSIG
ZBAD,2019-09-09 03:00,ZBAD 090300Z 05003MPS 020V110 7000 NSC 31/20 Q1010 NOSIG
ZBAD,2019-09-09 03:30,ZBAD 090330Z 04002MPS 340V100 7000 NSC 31/19 Q1010 NOSIG
ZBAD,2019-09-09 04:00,ZBAD 090400Z 06003MPS 350V120 8000 NSC 32/20 Q1009 NOSIG
ZBAD,2019-09-09 04:30,ZBAD 090430Z VRB01MPS 8000 NSC 33/20 Q1009 NOSIG
ZBAD,2019-09-09 05:00,ZBAD 090500Z VRB02MPS 9000 NSC 33/19 Q1009 NOSIG
ZBAD,2019-09-09 05:30,ZBAD 090530Z 09002MPS 020V160 9000 NSC 33/19 Q1009 NOSIG
ZBAD,2019-09-09 06:00,ZBAD 090600Z 06003MPS 350V100 CAVOK 33/19 Q1008 NOSIG
ZBAD,2019-09-09 06:30,ZBAD 090630Z 13003MPS 090V160 CAVOK 33/19 Q1008 NOSIG
ZBAD,2019-09-09 07:00,ZBAD 090700Z 05005MPS CAVOK 33/20 Q1008 NOSIG
ZBAD,2019-09-09 07:30,ZBAD 090730Z 06005MPS CAVOK 32/21 Q1008 NOSIG
ZBAD,2019-09-10 01:30,ZBAD 100130Z 01004MPS 340V040 CAVOK 20/18 Q1019 NOSIG
ZBAD,2019-09-10 02:00,ZBAD 100200Z 34004MPS CAVOK 20/18 Q1019 NOSIG
ZBAD,2019-09-10 02:30,ZBAD 100230Z 35005MPS CAVOK 20/18 Q1019 NOSIG
ZBAD,2019-09-10 03:00,ZBAD 100300Z 36005MPS 9999 -RA NSC 20/19 Q1019 NOSIG
ZBAD,2019-09-10 03:30,ZBAD 100330Z 35005MPS 9999 -RA NSC 21/19 Q1018 NOSIG
ZBAD,2019-09-10 04:00,ZBAD 100400Z 36005MPS 9999 -RA NSC 21/19 Q1018 NOSIG
ZBAD,2019-09-10 04:30,ZBAD 100430Z 35005MPS 9999 -RA NSC 21/19 Q1019 NOSIG
ZBAD,2019-09-10 05:00,ZBAD 100500Z 35004MPS CAVOK 21/19 Q1018 NOSIG
ZBAD,2019-09-10 05:30,ZBAD 100530Z 35004MPS CAVOK 22/19 Q1018 NOSIG
ZBAD,2019-09-10 06:00,ZBAD 100600Z 36004MPS CAVOK 22/19 Q1018 NOSIG
ZBAD,2019-09-10 06:30,ZBAD 100630Z 36005MPS CAVOK 22/19 Q1018 NOSIG
ZBAD,2019-09-10 07:00,ZBAD 100700Z 36006MPS CAVOK 22/18 Q1018 NOSIG
ZBAD,2019-09-10 07:30,ZBAD 100730Z 36005MPS CAVOK 22/18 Q1018 NOSIG
ZBAD,2019-09-11 01:30,ZBAD 110130Z 04002MPS 9999 -RA NSC 22/17 Q1023 NOSIG
ZBAD,2019-09-11 02:00,ZBAD 110200Z VRB01MPS CAVOK 22/16 Q1023 NOSIG
ZBAD,2019-09-11 02:30,ZBAD 110230Z VRB01MPS CAVOK 23/16 Q1023 NOSIG
ZBAD,2019-09-11 03:00,ZBAD 110300Z VRB01MPS CAVOK 23/17 Q1023 NOSIG
ZBAD,2019-09-11 03:30,ZBAD 110330Z VRB01MPS CAVOK 23/16 Q1022 NOSIG
ZBAD,2019-09-11 04:00,ZBAD 110400Z 10002MPS 080V160 CAVOK 23/16 Q1022 NOSIG
ZBAD,2019-09-11 04:30,ZBAD 110430Z 10002MPS 050V130 CAVOK 24/16 Q1021 NOSIG
ZBAD,2019-09-11 05:00,ZBAD 110500Z VRB01MPS CAVOK 24/15 Q1021 NOSIG
ZBAD,2019-09-11 05:30,ZBAD 110530Z 08002MPS 050V110 CAVOK 24/15 Q1021 NOSIG
ZBAD,2019-09-11 06:00,ZBAD 110600Z VRB01MPS 9999 -SHRA NSC 24/15 Q1020 NOSIG
ZBAD,2019-09-11 06:30,ZBAD 110630Z VRB01MPS CAVOK 24/14 Q1020 NOSIG
ZBAD,2019-09-11 07:00,ZBAD 110700Z 09002MPS CAVOK 24/13 Q1019 NOSIG
ZBAD,2019-09-11 07:30,ZBAD 110730Z 11002MPS CAVOK 24/13 Q1019 NOSIG
ZBAD,2019-09-12 01:30,ZBAD 120130Z VRB01MPS CAVOK 21/13 Q1018 NOSIG
ZBAD,2019-09-12 02:00,ZBAD 120200Z VRB01MPS CAVOK 21/13 Q1018 NOSIG
ZBAD,2019-09-12 02:30,ZBAD 120230Z VRB01MPS CAVOK 22/13 Q1017 NOSIG
ZBAD,2019-09-12 03:00,ZBAD 120300Z 18002MPS 120V220 CAVOK 22/13 Q1017 NOSIG
ZBAD,2019-09-12 03:30,ZBAD 120330Z 20002MPS CAVOK 22/13 Q1017 NOSIG
ZBAD,2019-09-12 04:00,ZBAD 120400Z 23003MPS CAVOK 22/13 Q1017 NOSIG
ZBAD,2019-09-12 04:30,ZBAD 120430Z 20003MPS 160V220 CAVOK 22/14 Q1016 NOSIG
ZBAD,2019-09-12 05:00,ZBAD 120500Z 21002MPS 150V260 CAVOK 22/14 Q1016 NOSIG
ZBAD,2019-09-12 05:30,ZBAD 120530Z 21003MPS 170V250 CAVOK 22/15 Q1015 NOSIG
ZBAD,2019-09-12 06:00,ZBAD 120600Z 18003MPS 140V230 CAVOK 22/15 Q1015 NOSIG
ZBAD,2019-09-12 06:30,ZBAD 120630Z 17003MPS 140V220 CAVOK 22/15 Q1014 NOSIG
ZBAD,2019-09-12 07:00,ZBAD 120700Z 19004MPS CAVOK 22/15 Q1014 NOSIG
ZBAD,2019-09-12 07:30,ZBAD 120730Z 17004MPS CAVOK 22/15 Q1013 NOSIG
ZBAD,2019-09-13 01:30,ZBAD 130130Z 29003MPS CAVOK 21/18 Q1012 NOSIG
ZBAD,2019-09-13 02:00,ZBAD 130200Z 29003MPS CAVOK 22/19 Q1012 NOSIG
ZBAD,2019-09-13 02:30,ZBAD 130230Z VRB01MPS CAVOK 22/18 Q1012 NOSIG
ZBAD,2019-09-13 03:00,ZBAD 130300Z 29002MPS 240V330 CAVOK 23/18 Q1012 NOSIG
ZBAD,2019-09-13 03:30,ZBAD 130330Z 27002MPS 240V320 CAVOK 23/19 Q1012 NOSIG
ZBAD,2019-09-13 04:00,ZBAD 130400Z 28002MPS 240V310 CAVOK 24/19 Q1012 NOSIG
ZBAD,2019-09-13 04:30,ZBAD 130430Z 25003MPS 190V290 CAVOK 25/19 Q1011 NOSIG
ZBAD,2019-09-13 05:00,ZBAD 130500Z 28003MPS 250V310 CAVOK 25/18 Q1011 NOSIG
ZBAD,2019-09-13 05:30,ZBAD 130530Z 28003MPS CAVOK 25/19 Q1011 NOSIG
ZBAD,2019-09-13 06:00,ZBAD 130600Z 28004MPS 250V310 CAVOK 25/19 Q1011 NOSIG
ZBAD,2019-09-13 06:30,ZBAD 130630Z 27003MPS 240V300 CAVOK 25/19 Q1011 NOSIG
ZBAD,2019-09-13 07:00,ZBAD 130700Z 26004MPS CAVOK 25/18 Q1011 NOSIG
ZBAD,2019-09-13 07:30,ZBAD 130730Z 28003MPS CAVOK 26/18 Q1011 NOSIG
ZBAD,2019-09-14 01:00,ZBAD 140100Z 02003MPS CAVOK 24/13 Q1017 NOSIG
ZBAD,2019-09-14 01:30,ZBAD 140130Z 02003MPS 360V060 CAVOK 25/12 Q1017 NOSIG
ZBAD,2019-09-14 02:00,ZBAD 140200Z 06002MPS 010V090 CAVOK 25/13 Q1017 NOSIG
ZBAD,2019-09-14 02:30,ZBAD 140230Z 06002MPS 360V110 CAVOK 27/13 Q1017 NOSIG
ZBAD,2019-09-14 03:00,ZBAD 140300Z 05002MPS 020V080 CAVOK 27/12 Q1017 NOSIG
ZBAD,2019-09-14 03:30,ZBAD 140330Z VRB02MPS CAVOK 28/10 Q1016 NOSIG
ZBAD,2019-09-14 04:00,ZBAD 140400Z 02002MPS 310V070 CAVOK 29/10 Q1016 NOSIG
ZBAD,2019-09-14 04:30,ZBAD 140430Z VRB01MPS CAVOK 30/10 Q1016 NOSIG
