station,valid,metar
ZBDS,2017-08-24 15:00,ZBDS 241500Z 36003MPS CAVOK 17/M02 Q1021 NOSIG
ZBDS,2017-08-24 16:00,ZBDS 241600Z 34002MPS CAVOK 15/01 Q1021 NOSIG
ZBDS,2017-08-24 17:00,ZBDS 241700Z 30003MPS CAVOK 14/01 Q1021 NOSIG
ZBDS,2017-08-24 18:00,ZBDS 241800Z 29002MPS CAVOK 13/01 Q1021 NOSIG
ZBDS,2017-08-24 19:00,ZBDS 241900Z 32003MPS CAVOK 12/01 Q1021 NOSIG
ZBDS,2017-08-24 20:00,ZBDS 242000Z 32004MPS CAVOK 11/02 Q1021 NOSIG
ZBDS,2017-08-24 21:00,ZBDS 242100Z 31004MPS CAVOK 09/02 Q1021 NOSIG
ZBDS,2017-08-24 22:00,ZBDS 242200Z 32003MPS CAVOK 09/02 Q1022 NOSIG
ZBDS,2017-08-24 23:00,ZBDS 242300Z 35003MPS CAVOK 14/M01 Q1022 NOSIG
ZBDS,2017-08-25 00:00,ZBDS 250000Z 35002MPS CAVOK 16/01 Q1022 NOSIG
ZBDS,2017-08-25 01:00,ZBDS 250100Z 01002MPS 330V040 CAVOK 20/M01 Q1023 NOSIG
ZBDS,2017-08-25 02:00,ZBDS 250200Z 36003MPS CAVOK 21/M01 Q1023 NOSIG
ZBDS,2017-08-25 03:00,ZBDS 250300Z 34004MPS 300V040 CAVOK 22/01 Q1023 NOSIG
ZBDS,2017-08-25 04:00,ZBDS 250400Z 36004MPS 310V050 CAVOK 23/M03 Q1023 NOSIG
ZBDS,2017-08-25 05:00,ZBDS 250500Z VRB04MPS CAVOK 24/M04 Q1022 NOSIG
ZBDS,2017-08-25 06:00,ZBDS 250600Z 35004MPS 320V030 CAVOK 23/M05 Q1022 NOSIG
ZBDS,2017-08-25 07:00,ZBDS 250700Z 36004MPS 330V030 9999 FEW040 23/M03 Q1022 NOSIG
ZBDS,2017-08-25 08:00,ZBDS 250800Z 02004MPS 340V060 9999 SCT040 23/M02 Q1022 NOSIG
ZBDS,2017-08-25 09:00,ZBDS 250900Z 04003MPS 9999 SCT040 22/M01 Q1021 NOSIG
ZBDS,2017-08-25 10:00,ZBDS 251000Z 04002MPS 9999 SCT040 21/01 Q1021 NOSIG
ZBDS,2017-08-25 11:00,ZBDS 251100Z 03002MPS 360V060 9999 SCT040 20/04 Q1021 NOSIG
ZBDS,2017-08-25 12:00,ZBDS 251200Z 08003MPS 040V100 9999 SCT040 19/05 Q1021 NOSIG
ZBDS,2017-08-25 13:00,ZBDS 251300Z 11002MPS 9999 SCT040 18/06 Q1022 NOSIG
ZBDS,2017-08-25 14:00,ZBDS 251400Z 15002MPS 9999 SCT040 18/03 Q1022 NOSIG
ZBDS,2017-08-25 15:00,ZBDS 251500Z 13002MPS 9999 FEW040 17/05 Q1022 NOSIG
ZBDS,2017-08-25 16:00,ZBDS 251600Z 16002MPS 9999 FEW040 16/05 Q1022 NOSIG
ZBDS,2017-08-25 17:00,ZBDS 251700Z 14002MPS CAVOK 15/04 Q1022 NOSIG
ZBDS,2017-08-25 18:00,ZBDS 251800Z 16002MPS CAVOK 16/06 Q1021 NOSIG
ZBDS,2017-08-25 19:00,ZBDS 251900Z VRB01MPS CAVOK 14/06 Q1021 NOSIG
ZBDS,2017-08-25 20:00,ZBDS 252000Z 10002MPS CAVOK 13/08 Q1021 NOSIG
ZBDS,2017-08-25 21:00,ZBDS 252100Z 23002MPS 170V250 CAVOK 13/07 Q1021 NOSIG
ZBDS,2017-08-25 22:00,ZBDS 252200Z VRB01MPS CAVOK 13/08 Q1021 NOSIG
