station,valid,metar
ZBHH,1998-01-01 00:00,ZBHH 010000Z AUTO 04002KT 6SM M12/M15 RMK SLP256 T11221151 57003 IEM_DS3505
ZBHH,1998-01-01 03:00,ZBHH 010300Z AUTO 04002KT 5SM M09/M12 RMK SLP255 T10901124 52001 IEM_DS3505
ZBHH,1998-01-01 06:00,ZBHH 010600Z AUTO 00000KT 9SM M06/M13 RMK SLP210 T10551132 57040 IEM_DS3505
ZBHH,1998-01-01 09:00,ZBHH 010900Z AUTO 25004KT 9SM M04/M12 RMK SLP203 T10421122 57005 IEM_DS3505
ZBHH,1998-01-01 12:00,ZBHH 011200Z AUTO 00000KT 6SM M08/M14 RMK SLP222 T10781140 52007 IEM_DS3505
ZBHH,1998-01-01 15:00,ZBHH 011500Z AUTO 09002KT 6SM M08/M14 RMK SLP226 T10821140 52010 IEM_DS3505
ZBHH,1998-01-01 18:00,ZBHH 011800Z AUTO 02002KT 6SM M10/M13 RMK SLP234 T10981134 52011 IEM_DS3505
ZBHH,1998-01-01 21:00,ZBHH 012100Z AUTO 09002KT 9SM M12/M15 RMK SLP244 T11181149 52007 IEM_DS3505
ZBHH,1998-01-02 00:00,ZBHH 020000Z AUTO 36002KT 6SM M13/M15 RMK SLP263 T11281149 52006 IEM_DS3505
ZBHH,1998-01-02 03:00,ZBHH 020300Z AUTO 09006KT 6SM M09/M13 RMK SLP263 T10901129 52008 IEM_DS3505
ZBHH,1998-01-02 06:00,ZBHH 020600Z AUTO 00000KT 6SM M04/M13 RMK SLP237 T10451127 57016 IEM_DS3505
ZBHH,1998-01-02 09:00,ZBHH 020900Z AUTO 00000KT 6SM M04/M14 RMK SLP250 T10391139 52008 IEM_DS3505
ZBHH,1998-01-02 12:00,ZBHH 021200Z AUTO 00000KT 6SM M06/M13 RMK SLP283 T10581132 52022 IEM_DS3505
ZBHH,1998-01-02 15:00,ZBHH 021500Z AUTO 32014KT 19SM M07/M19 RMK SLP300 T10661194 52022 IEM_DS3505
ZBHH,1998-01-02 18:00,ZBHH 021800Z AUTO 32017KT 19SM M12/M21 RMK SLP340 T11241209 52032 IEM_DS3505
ZBHH,1998-01-02 21:00,ZBHH 022100Z AUTO 32010KT 19SM M16/M26 RMK SLP389 T11571260 52036 IEM_DS3505
ZBHH,1998-01-03 00:00,ZBHH 030000Z AUTO 32010KT 19SM M17/M27 RMK SLP424 T11721268 52023 IEM_DS3505
ZBHH,1998-01-03 03:00,ZBHH 030300Z AUTO 34014KT 19SM M16/M25 RMK SLP453 T11601247 52026 IEM_DS3505
ZBHH,1998-01-03 06:00,ZBHH 030600Z AUTO 32016KT 19SM M14/M25 RMK SLP444 T11361252 57016 IEM_DS3505
ZBHH,1998-01-03 09:00,ZBHH 030900Z AUTO 32012KT 19SM M14/M28 RMK SLP465 T11441275 52008 IEM_DS3505
ZBHH,1998-01-03 12:00,ZBHH 031200Z AUTO 29004KT 19SM M15/M28 RMK SLP477 T11511275 52005 IEM_DS3505
ZBHH,1998-01-03 15:00,ZBHH 031500Z AUTO 20004KT 19SM M17/M28 RMK SLP470 T11711278 57008 IEM_DS3505
ZBHH,1998-01-03 21:00,ZBHH 032100Z AUTO 00000KT 19SM RMK SLP436 IEM_DS3505
ZBHH,1998-01-04 00:00,ZBHH 040000Z AUTO 07004KT 16SM M21/M28 RMK SLP425 T12111284 57012 IEM_DS3505
ZBHH,1998-01-04 09:00,ZBHH 040900Z AUTO 22004KT 6SM M09/M22 RMK SLP329 T10861222 57021 IEM_DS3505
ZBHH,1998-01-04 12:00,ZBHH 041200Z AUTO 00000KT 5SM M12/M24 RMK SLP335 T11171238 57003 IEM_DS3505
ZBHH,1998-01-04 15:00,ZBHH 041500Z AUTO 00000KT 6SM M13/M24 RMK SLP321 T11301238 57006 IEM_DS3505
ZBHH,1998-01-04 18:00,ZBHH 041800Z AUTO 20004KT 7SM M14/M24 RMK SLP296 T11371236 57009 IEM_DS3505
ZBHH,1998-01-04 21:00,ZBHH 042100Z AUTO 00000KT 12SM M16/M25 RMK SLP297 T11601247 52001 IEM_DS3505
ZBHH,1998-01-05 00:00,ZBHH 050000Z AUTO 00000KT 6SM M17/M25 RMK SLP328 T11691251 52018 IEM_DS3505
