station,valid,metar
ZBOW,1960-01-01 00:00,ZBOW 010000Z AUTO 00000KT 1 1/4SM M19/M28 RMK SLP377 T11891278 52004 IEM_DS3505
ZBOW,1960-01-01 06:00,ZBOW 010600Z AUTO 25004KT 6SM M06/M14 RMK SLP352 T10611139 57008 IEM_DS3505
ZBOW,1960-01-02 00:00,ZBOW 020000Z AUTO 09002KT 2 1/2SM M17/M18 RMK SLP266 T11721178 57015 IEM_DS3505
ZBOW,1960-01-02 06:00,ZBOW 020600Z AUTO 11002KT 4SM M05/M14 RMK SLP218 T10501139 57032 IEM_DS3505
ZBOW,1960-01-02 09:00,ZBOW 020900Z AUTO 00000KT 4SM M04/M12 RMK SLP209 T10391122 57007 IEM_DS3505
ZBOW,1960-01-02 12:00,ZBOW 021200Z AUTO 07004KT 5SM M08/M13 RMK SLP208 T10781128 57006 IEM_DS3505
ZBOW,1960-01-02 15:00,ZBOW 021500Z AUTO 07004KT 1/2SM M11/M16 RMK SLP187 T11111161 57013 IEM_DS3505
ZBOW,1960-01-02 18:00,ZBOW 021800Z AUTO 09004KT 4SM M12/M15 RMK SLP162 T11221150 56011 IEM_DS3505
ZBOW,1960-01-02 21:00,ZBOW 022100Z AUTO 09004KT 4SM M12/M15 RMK SLP150 T11221150 57012 IEM_DS3505
ZBOW,1960-01-03 00:00,ZBOW 030000Z AUTO 11002KT 2SM M12/M15 RMK SLP150 T11221150 57003 IEM_DS3505
ZBOW,1960-01-03 06:00,ZBOW 030600Z AUTO 00000KT 2SM 00/M12 RMK SLP104 T00001122 57024 IEM_DS3505
ZBOW,1960-01-03 09:00,ZBOW 030900Z AUTO 29008KT 2SM 01/M12 RMK SLP103 T00111122 57002 IEM_DS3505
ZBOW,1960-01-03 12:00,ZBOW 031200Z AUTO 27008KT 4SM M02/M14 RMK SLP101 T10221139 52013 IEM_DS3505
ZBOW,1960-01-03 15:00,ZBOW 031500Z AUTO 36010KT 5SM M04/M17 RMK SLP133 T10391172 52011 IEM_DS3505
ZBOW,1960-01-03 18:00,ZBOW 031800Z AUTO 34014KT 16SM M06/ RMK SLP146 52021 IEM_DS3505
ZBOW,1960-01-03 21:00,ZBOW 032100Z AUTO 34010KT 16SM M09/M14 RMK SLP197 T10891139 52046 IEM_DS3505
ZBOW,1960-01-04 00:00,ZBOW 040000Z AUTO 27010KT 14SM M10/M18 RMK SLP241 T11001178 52020 IEM_DS3505
ZBOW,1960-01-04 03:00,ZBOW 040300Z AUTO 36012KT 17SM M09/M23 RMK SLP292 T10891228 52041 IEM_DS3505
ZBOW,1960-01-04 06:00,ZBOW 040600Z AUTO 32017KT 6SM M08/M22 RMK SLP304 T10781222 52002 IEM_DS3505
ZBOW,1960-01-04 09:00,ZBOW 040900Z AUTO 32016KT 7SM M10/M26 RMK SLP329 T11001261 52014 IEM_DS3505
