station,valid,metar
ZBSJ,2003-12-29 01:00,ZBSJ 290100Z 22001MPS CAVOK 01/M08 Q1032 NOSIG
ZBSJ,2003-12-29 02:00,ZBSJ 290200Z 17001MPS CAVOK 02/M09 Q1033 NOSIG
ZBSJ,2003-12-29 03:00,ZBSJ 290300Z 31002MPS CAVOK 05/M11 Q1032 NOSIG
ZBSJ,2003-12-29 04:00,ZBSJ 290400Z 34002MPS CAVOK 06/M12 Q1032 NOSIG
ZBSJ,2003-12-29 05:00,ZBSJ 290500Z 01002MPS CAVOK 07/M13 Q1031 NOSIG
ZBSJ,2003-12-29 06:00,ZBSJ 290600Z 02002MPS CAVOK 07/M12 Q1030 NOSIG
ZBSJ,2003-12-29 07:00,ZBSJ 290700Z 11001MPS CAVOK 06/M12 Q1030 NOSIG
ZBSJ,2003-12-29 08:00,ZBSJ 290800Z 15002MPS CAVOK 06/M11 Q1030 NOSIG
ZBSJ,2003-12-29 09:00,ZBSJ 290900Z 15002MPS CAVOK 03/M11 Q1030 NOSIG
ZBSJ,2003-12-29 10:00,ZBSJ 291000Z 19002MPS CAVOK 02/M11 Q1031 NOSIG
ZBSJ,2003-12-29 11:00,ZBSJ 291100Z 19002MPS 7000 NSC 02/M10 Q1031 NOSIG
ZBSJ,2003-12-29 12:00,ZBSJ 291200Z 18002MPS 8000 NSC 02/M10 Q1031 NOSIG
ZBSJ,2003-12-29 13:00,ZBSJ 291300Z 09001MPS 8000 NSC 01/M09 Q1031 NOSIG
ZBSJ,2003-12-29 14:00,ZBSJ 291400Z 20001MPS 8000 NSC 00/M08 Q1031 NOSIG
ZBSJ,2003-12-29 15:00,ZBSJ 291500Z 06002MPS 7000 NSC M01/M08 Q1030 NOSIG
ZBSJ,2003-12-29 16:00,ZBSJ 291600Z 07001MPS 5000 FU NSC M02/M07 Q1030 NOSIG
ZBSJ,2003-12-29 17:00,ZBSJ 291700Z 03001MPS 4000 FU NSC M02/M08 Q1029 NOSIG
