station,valid,metar
ZBTJ,2016-01-01 00:00,ZBTJ 010000Z 19002MPS 2000 BR NSC M02/M05 Q1025 NOSIG
ZBTJ,2016-01-01 00:30,ZBTJ 010030Z 19003MPS 2000 BR NSC M01/M05 Q1025 NOSIG
ZBTJ,2016-01-01 01:00,ZBTJ 010100Z 19004MPS 2000 BR NSC M01/M04 Q1025 BECMG TL0230 3000
ZBTJ,2016-01-01 01:30,ZBTJ 010130Z 21004MPS 2500 BR NSC 00/M04 Q1025 BECMG TL0230 3000
ZBTJ,2016-01-01 02:00,ZBTJ 010200Z 22003MPS 200V270 2800 HZ NSC 01/M04 Q1025 BECMG TL0230 3000
ZBTJ,2016-01-01 02:30,ZBTJ 010230Z 26002MPS 210V310 3000 HZ NSC 02/M04 Q1025 NOSIG
ZBTJ,2016-01-01 03:00,ZBTJ 010300Z 24004MPS 210V270 3500 HZ NSC 03/M05 Q1025 NOSIG
ZBTJ,2016-01-01 03:30,ZBTJ 010330Z 25004MPS 3500 HZ NSC 03/M05 Q1024 NOSIG
ZBTJ,2016-01-01 04:00,ZBTJ 010400Z 24003MPS 3000 HZ NSC 03/M05 Q1023 NOSIG
ZBTJ,2016-01-01 04:30,ZBTJ 010430Z 25002MPS 220V280 2000 HZ NSC 04/M04 Q1023 NOSIG
ZBTJ,2016-01-01 05:00,ZBTJ 010500Z 24002MPS 180V280 2000 HZ NSC 04/M04 Q1022 NOSIG
ZBTJ,2016-01-01 05:30,ZBTJ 010530Z 24003MPS 200V290 2000 HZ NSC 05/M04 Q1021 NOSIG
ZBTJ,2016-01-01 06:00,ZBTJ 010600Z 21002MPS 160V270 2200 HZ NSC 06/M04 Q1021 NOSIG
ZBTJ,2016-01-01 06:30,ZBTJ 010630Z 20003MPS 2200 HZ NSC 06/M04 Q1021 NOSIG
ZBTJ,2016-01-01 07:00,ZBTJ 010700Z 22003MPS 190V260 2200 HZ NSC 06/M04 Q1021 NOSIG
ZBTJ,2016-01-01 07:30,ZBTJ 010730Z 23003MPS 2200 HZ NSC 05/M04 Q1021 NOSIG
ZBTJ,2016-01-01 08:00,ZBTJ 010800Z VRB01MPS 2200 HZ NSC 05/M04 Q1021 NOSIG
ZBTJ,2016-01-01 08:30,ZBTJ 010830Z VRB01MPS 2000 HZ NSC 05/M04 Q1021 NOSIG
ZBTJ,2016-01-01 09:00,ZBTJ 010900Z 20002MPS 170V230 1800 HZ NSC 04/M04 Q1021 NOSIG
