station,valid,metar
ZBYN,1991-01-01 00:00,ZBYN 010000Z AUTO 36002KT 7SM M07/M16 A3030 RMK SLP310 T10731159 52017 IEM_DS3505
ZBYN,1991-01-01 01:00,ZBYN 010100Z AUTO 35004KT 6SM M07/M19 A2758 RMK T10701190 IEM_DS3505
ZBYN,1991-01-01 02:00,ZBYN 010200Z AUTO 36006KT 6SM M04/M20 A2761 RMK T10401200 IEM_DS3505
ZBYN,1991-01-01 03:00,ZBYN 010300Z AUTO 36002KT 7SM M03/M19 A2761 RMK SLP314 T10341193 52009 IEM_DS3505
ZBYN,1991-01-01 04:00,ZBYN 010400Z AUTO 33006KT 6SM M02/M20 A2758 RMK T10201200 IEM_DS3505
ZBYN,1991-01-01 05:00,ZBYN 010500Z AUTO 21006KT 7SM M02/M18 A2755 RMK T10201180 IEM_DS3505
ZBYN,1991-01-01 06:00,ZBYN 010600Z AUTO 18006KT 7SM 00/M20 A2752 RMK SLP279 T00041203 4////1077 57031 IEM_DS3505
ZBYN,1991-01-01 07:00,ZBYN 010700Z AUTO 20006KT 7SM 00/M22 A2752 RMK T00001220 IEM_DS3505
ZBYN,1991-01-01 08:00,ZBYN 010800Z AUTO 22008KT 7SM 00/M21 RMK T00001210 IEM_DS3505
ZBYN,1991-01-01 09:00,ZBYN 010900Z AUTO 18004KT 9SM M01/M15 RMK SLP274 T10081151 57005 IEM_DS3505
ZBYN,1991-01-01 10:00,ZBYN 011000Z AUTO 00000KT 7SM M03/M17 RMK T10301170 IEM_DS3505
ZBYN,1991-01-01 11:00,ZBYN 011100Z AUTO 28006KT 7SM M06/M20 A2752 RMK T10601200 IEM_DS3505
ZBYN,1991-01-01 12:00,ZBYN 011200Z AUTO 34004KT 9SM M04/M20 A2755 RMK SLP303 T10441201 52015 IEM_DS3505
ZBYN,1991-01-01 13:00,ZBYN 011300Z AUTO 29006KT 7SM M06/M23 A2758 RMK T10601230 IEM_DS3505
ZBYN,1991-01-01 15:00,ZBYN 011500Z AUTO 00000KT 9SM M06/M20 A2758 RMK SLP307 T10631202 52007 IEM_DS3505
ZBYN,1991-01-01 16:00,ZBYN 011600Z AUTO 09004KT 7SM M10/M22 A2758 RMK T11001220 IEM_DS3505
ZBYN,1991-01-01 17:00,ZBYN 011700Z AUTO 12006KT 6SM M11/M21 A2755 RMK T11101210 IEM_DS3505
ZBYN,1991-01-01 18:00,ZBYN 011800Z AUTO 00000KT 9SM M08/M19 A2755 RMK SLP306 T10801192 40008//// 57002 IEM_DS3505
ZBYN,1991-01-01 19:00,ZBYN 011900Z AUTO 06004KT 7SM M12/M20 A2755 RMK T11201200 IEM_DS3505
ZBYN,1991-01-01 20:00,ZBYN 012000Z AUTO 14004KT 7SM M11/M19 A2755 RMK T11101190 IEM_DS3505
ZBYN,1991-01-01 21:00,ZBYN 012100Z AUTO 00000KT 9SM M13/M18 A2755 RMK SLP308 T11321182 57004 IEM_DS3505
ZBYN,1991-01-01 22:00,ZBYN 012200Z AUTO 10004KT 6SM M13/M20 A2755 RMK T11301200 IEM_DS3505
ZBYN,1991-01-01 23:00,ZBYN 012300Z AUTO 00000KT 6SM M14/M20 A2755 RMK T11401200 IEM_DS3505
ZBYN,1991-01-02 00:00,ZBYN 020000Z AUTO 29002KT 9SM M13/M17 A2755 RMK SLP318 T11291172 52003 IEM_DS3505
ZBYN,1991-01-02 01:00,ZBYN 020100Z AUTO 00000KT 4SM M12/M17 A2758 RMK T11201170 IEM_DS3505
ZBYN,1991-01-02 02:00,ZBYN 020200Z AUTO 00000KT 4SM M09/M15 A2758 RMK T10901150 IEM_DS3505
ZBYN,1991-01-02 03:00,ZBYN 020300Z AUTO 00000KT 9SM M05/M18 A2758 RMK SLP313 T10531179 52006 IEM_DS3505
ZBYN,1991-01-02 04:00,ZBYN 020400Z AUTO 17004KT 6SM M03/M19 A2755 RMK T10301190 IEM_DS3505
ZBYN,1991-01-02 05:00,ZBYN 020500Z AUTO 00000KT 6SM M02/M19 A3021 RMK T10201190 IEM_DS3505
ZBYN,1991-01-02 06:00,ZBYN 020600Z AUTO 16006KT 9SM M01/M14 RMK SLP277 T10061140 4////1136 57033 IEM_DS3505
ZBYN,1991-01-02 07:00,ZBYN 020700Z AUTO 18006KT 7SM 01/M17 RMK T00101170 IEM_DS3505
ZBYN,1991-01-02 08:00,ZBYN 020800Z AUTO 18008KT 7SM 00/M15 RMK T00001150 IEM_DS3505
ZBYN,1991-01-02 09:00,ZBYN 020900Z AUTO 18004KT 16SM M01/M12 RMK SLP265 T10081125 57015 IEM_DS3505
ZBYN,1991-01-02 10:00,ZBYN 021000Z AUTO 36006KT 7SM M03/M17 RMK T10301170 IEM_DS3505
ZBYN,1991-01-02 11:00,ZBYN 021100Z AUTO 01004KT 7SM M07/M18 RMK T10701180 IEM_DS3505
ZBYN,1991-01-02 12:00,ZBYN 021200Z AUTO 00000KT 12SM M04/M16 RMK SLP281 T10361164 52010 IEM_DS3505
ZBYN,1991-01-02 13:00,ZBYN 021300Z AUTO 29006KT 7SM M03/M11 RMK T10301110 IEM_DS3505
ZBYN,1991-01-02 15:00,ZBYN 021500Z AUTO 00000KT 12SM M08/M14 RMK SLP281 T10761145 52006 IEM_DS3505
ZBYN,1991-01-02 16:00,ZBYN 021600Z AUTO 00000KT 7SM M08/M17 RMK T10801170 IEM_DS3505
ZBYN,1991-01-02 17:00,ZBYN 021700Z AUTO 32008KT 7SM M04/M19 RMK T10401190 IEM_DS3505
ZBYN,1991-01-02 18:00,ZBYN 021800Z AUTO 29008KT 12SM M04/M17 A2752 RMK SLP276 T10401173 40009//// 52010 IEM_DS3505
ZBYN,1991-01-02 19:00,ZBYN 021900Z AUTO 29014KT 6SM M05/M17 RMK T10501170 IEM_DS3505
ZBYN,1991-01-02 20:00,ZBYN 022000Z AUTO 30010KT 7SM M06/M17 A2752 RMK T10601170 IEM_DS3505
