station,valid,metar
ZGBH,2013-03-02 01:00,ZGBH 020100Z 36005MPS 3000 BR BKN006 OVC026 19/19 Q1018 NOSIG
ZGBH,2013-06-25 15:00,ZGBH 251500Z 21005MPS 9999 SCT008 SCT033 27/25 Q1004 NOSIG
ZGBH,2013-07-15 15:00,ZGBH 151500Z 00000MPS 9999 SCT008 FEW023TCU BKN033 25/25 Q1007 NOSIG
ZGBH,2013-08-12 07:00,ZGBH 120700Z 18002MPS 9999 SCT018 FEW026TCU 34/24 Q1005 NOSIG
ZGBH,2013-08-13 15:00,ZGBH 131500Z 34004MPS 9999 BKN009 FEW026CB BKN030 25/25 Q1002 NOSIG
ZGBH,2013-08-13 16:00,ZGBH 131600Z 34003MPS 9999 BKN009 FEW026CB BKN030 25/24 Q1001 NOSIG
ZGBH,2013-11-10 04:00,ZGBH 100400Z 05006MPS 9999 SCT011 BKN040 29/22 Q1011 NOSIG
ZGBH,2013-11-21 05:00,ZGBH 210500Z 04003MPS 6000 BKN036 19/16 Q1017 NOSIG
ZGBH,2013-12-09 00:00,ZGBH 090000Z 00000MPS 1600 R01/0750 BR NSC 14/14 Q1016 BECMG FM0100 2500
ZGBH,2013-12-24 10:00,ZGBH 241000Z 35003MPS 5000 HZ NSC 16/05 Q1021 NOSIG
