station,valid,metar
ZGDY,2008-02-01 02:00,ZGDY 010200Z AUTO 06002KT 1 1/2SM 00/M05 A3045 RMK T00001050 IEM_DS3505
ZGDY,2008-04-14 03:00,ZGDY 140300Z AUTO 04006KT 2 1/2SM 14/10 A3003 RMK T01400100 IEM_DS3505
ZGDY,2008-04-14 04:00,ZGDY 140400Z AUTO 02004KT 3SM 14/10 A3000 RMK T01400100 IEM_DS3505
ZGDY,2008-04-14 05:00,ZGDY 140500Z AUTO 03002KT 2 1/2SM 14/10 A2997 RMK T01400100 IEM_DS3505
ZGDY,2008-04-14 07:00,ZGDY 140700Z AUTO 3SM 14/10 A2994 RMK T01400100 IEM_DS3505
ZGDY,2008-04-14 08:00,ZGDY 140800Z AUTO 06004KT 3SM 14/10 A2991 RMK T01400100 IEM_DS3505
ZGDY,2008-04-14 10:00,ZGDY 141000Z AUTO 04004KT 3SM 15/11 A2991 RMK T01500110 IEM_DS3505
ZGDY,2008-04-26 05:00,ZGDY 260500Z AUTO 5SM 26/11 A2994 RMK T02600110 IEM_DS3505
ZGDY,2008-04-26 23:00,ZGDY 262300Z AUTO 00000KT 4SM 16/14 A2991 RMK T01600140 IEM_DS3505
ZGDY,2008-06-20 23:00,ZGDY 202300Z AUTO 00000KT 3SM 25/24 A2956 RMK T02500240 IEM_DS3505
ZGDY,2008-08-12 01:00,ZGDY 120100Z AUTO 1SM 25/23 A2980 RMK T02500230 IEM_DS3505
ZGDY,2008-08-20 00:00,ZGDY 200000Z AUTO 4SM 25/23 A2977 RMK T02500230 IEM_DS3505
ZGDY,2008-08-20 01:00,ZGDY 200100Z AUTO 27/23 A2977 RMK T02700230 IEM_DS3505
ZGDY,2008-08-20 02:00,ZGDY 200200Z AUTO 6SM 31/24 A2974 RMK T03100240 IEM_DS3505
ZGDY,2008-08-23 23:00,ZGDY 232300Z AUTO 6SM 21/20 A2980 RMK T02100200 IEM_DS3505
ZGDY,2008-08-24 00:30,ZGDY 240030Z AUTO 4SM 24/20 A2980 RMK T02400200 IEM_DS3505
ZGDY,2008-09-04 23:00,ZGDY 042300Z AUTO 1/4SM 18/18 A2988 RMK T01800180 IEM_DS3505
ZGDY,2008-09-16 03:00,ZGDY 160300Z AUTO 6SM 27/21 A2985 RMK T02700210 IEM_DS3505
ZGDY,2008-09-23 03:00,ZGDY 230300Z AUTO 08012KT 2SM 31/23 A2983 RMK T03100230 IEM_DS3505
ZGDY,2008-10-02 00:00,ZGDY 020000Z AUTO 1SM 19/17 A3000 RMK T01900170 IEM_DS3505
ZGDY,2008-11-03 01:00,ZGDY 030100Z AUTO 09004KT 3SM 16/15 A3018 RMK T01600150 IEM_DS3505
ZGDY,2008-12-23 15:00,ZGDY 231500Z AUTO 27002KT 4SM 03/M03 A3033 RMK T00301030 IEM_DS3505
ZGDY,2008-12-27 21:30,ZGDY 272130Z AUTO 08006KT 1 1/4SM 04/03 A3015 RMK T00400030 IEM_DS3505
ZGDY,2008-12-27 22:00,ZGDY 272200Z AUTO 07006KT 1 1/4SM 04/03 A3015 RMK T00400030 IEM_DS3505
ZGDY,2008-12-27 23:00,ZGDY 272300Z AUTO 09006KT 1 1/4SM 04/03 A3018 RMK T00400030 IEM_DS3505
ZGDY,2008-12-27 23:30,ZGDY 272330Z AUTO 07008KT 1 1/2SM 04/03 A3021 RMK T00400030 IEM_DS3505
ZGDY,2008-12-28 00:00,ZGDY 280000Z AUTO 06008KT 1 1/2SM 04/03 A3021 RMK T00400030 IEM_DS3505
ZGDY,2008-12-28 00:30,ZGDY 280030Z AUTO 07010KT 1 1/4SM 04/03 A3024 RMK T00400030 IEM_DS3505
ZGDY,2008-12-28 01:00,ZGDY 280100Z AUTO 08010KT 1SM 04/03 A3024 RMK T00400030 IEM_DS3505
ZGDY,2008-12-28 03:00,ZGDY 280300Z AUTO 08006KT 1 1/2SM 04/02 A3030 RMK T00400020 IEM_DS3505
ZGDY,2008-12-28 04:00,ZGDY 280400Z AUTO 08006KT 1 1/2SM 04/02 A3030 RMK T00400020 IEM_DS3505
