station,valid,metar
ZGGG,1996-01-01 00:00,ZGGG 010000Z AUTO 04004KT 6SM 06/05 A3024 RMK SLP229 T00600051 52003 IEM_DS3505
ZGGG,1996-01-01 01:00,ZGGG 010100Z AUTO 02006KT 4SM 11/02 A3024 RMK T01100020 IEM_DS3505
ZGGG,1996-01-01 02:00,ZGGG 010200Z AUTO 02008KT 4SM 14/00 A3027 RMK SLP261 T01400000 IEM_DS3505
ZGGG,1996-01-01 03:00,ZGGG 010300Z AUTO 09002KT 10SM 18/02 A3027 RMK SLP251 T01840018 52006 IEM_DS3505
ZGGG,1996-01-01 04:00,ZGGG 010400Z AUTO 36004KT 5SM 18/00 A3024 RMK SLP251 T01800000 IEM_DS3505
ZGGG,1996-01-01 05:00,ZGGG 010500Z AUTO 29004KT 4SM 19/01 A3018 RMK SLP231 T01900010 IEM_DS3505
ZGGG,1996-01-01 06:00,ZGGG 010600Z AUTO 16002KT 10SM 21/01 A3015 RMK SLP220 T02110012 57030 IEM_DS3505
ZGGG,1996-01-01 07:00,ZGGG 010700Z AUTO 32004KT 4SM 21/01 A3012 RMK SLP210 T02100010 IEM_DS3505
ZGGG,1996-01-01 08:00,ZGGG 010800Z AUTO 34004KT 4SM 21/01 A3012 RMK SLP210 T02100010 IEM_DS3505
ZGGG,1996-01-01 09:00,ZGGG 010900Z AUTO 34004KT 9SM 20/02 A3012 RMK SLP207 T01960019 57013 IEM_DS3505
ZGGG,1996-01-01 10:00,ZGGG 011000Z AUTO 00000KT 4SM 19/02 A3012 RMK SLP210 T01900020 IEM_DS3505
ZGGG,1996-01-01 11:00,ZGGG 011100Z AUTO 01002KT 4SM 17/03 A3015 RMK SLP221 T01700030 IEM_DS3505
ZGGG,1996-01-01 12:00,ZGGG 011200Z AUTO 04002KT 6SM 12/06 A3015 RMK SLP221 T01230057 52013 IEM_DS3505
ZGGG,1996-01-01 13:00,ZGGG 011300Z AUTO 06002KT 5SM 15/03 A3018 RMK T01500030 IEM_DS3505
ZGGG,1996-01-01 14:00,ZGGG 011400Z AUTO 00000KT 5SM 14/03 A3018 RMK SLP231 T01400030 IEM_DS3505
ZGGG,1996-01-01 15:00,ZGGG 011500Z AUTO 04002KT 8SM 09/06 A3018 RMK SLP228 T00910065 52008 IEM_DS3505
ZGGG,1996-01-01 16:00,ZGGG 011600Z AUTO 04002KT 4SM 13/05 A3018 RMK SLP231 T01300050 IEM_DS3505
ZGGG,1996-01-01 17:00,ZGGG 011700Z AUTO 04002KT 4SM 12/05 A3018 RMK SLP231 T01200050 IEM_DS3505
ZGGG,1996-01-01 18:00,ZGGG 011800Z AUTO 00000KT 7SM 08/06 A3018 RMK SLP227 T00760063 57001 IEM_DS3505
ZGGG,1996-01-01 19:00,ZGGG 011900Z AUTO 03002KT 4SM 11/05 A3018 RMK T01100050 IEM_DS3505
ZGGG,1996-01-01 20:00,ZGGG 012000Z AUTO 00000KT 4SM 11/05 A3015 RMK SLP221 T01100050 IEM_DS3505
ZGGG,1996-01-01 21:00,ZGGG 012100Z AUTO 00000KT 6SM 06/05 A3018 RMK SLP227 T00650054 57001 IEM_DS3505
ZGGG,1996-01-01 22:00,ZGGG 012200Z AUTO 07002KT 2 1/2SM 10/06 A3021 RMK SLP242 T01000060 IEM_DS3505
ZGGG,1996-01-01 23:00,ZGGG 012300Z AUTO 00000KT 2SM 09/06 A3021 RMK SLP242 T00900060 IEM_DS3505
ZGGG,1996-01-02 00:00,ZGGG 020000Z AUTO 00000KT 5SM 07/06 A3024 RMK SLP245 T00680061 52018 IEM_DS3505
ZGGG,1996-01-02 01:00,ZGGG 020100Z AUTO 05002KT 1 1/4SM 11/05 A3024 RMK T01100050 IEM_DS3505
ZGGG,1996-01-02 02:00,ZGGG 020200Z AUTO 05004KT 1 1/4SM 13/05 A3024 RMK SLP251 T01300050 IEM_DS3505
ZGGG,1996-01-02 03:00,ZGGG 020300Z AUTO 18002KT 6SM 18/06 A3024 RMK SLP246 T01770058 52001 IEM_DS3505
ZGGG,1996-01-02 04:00,ZGGG 020400Z AUTO 33004KT 1 1/2SM 17/06 A3021 RMK SLP241 T01700060 IEM_DS3505
ZGGG,1996-01-02 05:00,ZGGG 020500Z AUTO 33004KT 1 1/2SM 19/05 A3018 RMK SLP231 T01900050 IEM_DS3505
ZGGG,1996-01-02 06:00,ZGGG 020600Z AUTO 02004KT 7SM 20/04 A3015 RMK SLP214 T02010044 57031 IEM_DS3505
ZGGG,1996-01-02 07:00,ZGGG 020700Z AUTO 34002KT 3SM 22/03 A3012 RMK SLP210 T02200030 IEM_DS3505
ZGGG,1996-01-02 08:00,ZGGG 020800Z AUTO 26002KT 3SM 21/01 A3012 RMK SLP210 T02100010 IEM_DS3505
ZGGG,1996-01-02 09:00,ZGGG 020900Z AUTO 34002KT 6SM 20/03 A3012 RMK SLP207 T02000033 57007 IEM_DS3505
ZGGG,1996-01-02 10:00,ZGGG 021000Z AUTO 00000KT 3SM 19/05 A3012 RMK SLP210 T01900050 IEM_DS3505
ZGGG,1996-01-02 11:00,ZGGG 021100Z AUTO 00000KT 4SM 17/05 A3015 RMK SLP221 T01700050 IEM_DS3505
ZGGG,1996-01-02 12:00,ZGGG 021200Z AUTO 04002KT 6SM 12/08 A3015 RMK SLP221 T01230076 52013 IEM_DS3505
