station,valid,metar
ZGHA,2025-01-01 00:00,ZGHA 010000Z VRB01MPS 4200 BR NSC 02/M01 Q1022 NOSIG
ZGHA,2025-01-01 01:00,ZGHA 010100Z 17001MPS 7000 NSC 05/M00 Q1023 NOSIG
ZGHA,2025-01-01 02:00,ZGHA 010200Z 27001MPS 7000 NSC 08/01 Q1023 NOSIG
ZGHA,2025-01-01 03:00,ZGHA 010300Z VRB01MPS 7000 NSC 12/00 Q1023 NOSIG
ZGHA,2025-01-01 04:00,ZGHA 010400Z VRB01MPS 8000 NSC 14/M01 Q1021 NOSIG
ZGHA,2025-01-01 05:00,ZGHA 010500Z 25002MPS 180V320 9000 NSC 16/M02 Q1020 NOSIG
ZGHA,2025-01-01 06:00,ZGHA 010600Z VRB01MPS 9000 NSC 17/M03 Q1019 NOSIG
ZGHA,2025-01-01 07:00,ZGHA 010700Z VRB01MPS CAVOK 17/M03 Q1018 NOSIG
ZGHA,2025-01-01 08:00,ZGHA 010800Z VRB01MPS CAVOK 17/M04 Q1018 NOSIG
ZGHA,2025-01-01 09:00,ZGHA 010900Z 00000MPS CAVOK 17/M03 Q1018 NOSIG
ZGHA,2025-01-01 10:00,ZGHA 011000Z 00000MPS 8000 NSC 15/M01 Q1019 NOSIG
ZGHA,2025-01-01 11:00,ZGHA 011100Z 36002MPS 8000 NSC 13/M02 Q1019 NOSIG
ZGHA,2025-01-01 12:00,ZGHA 011200Z VRB01MPS 6000 NSC 10/01 Q1020 NOSIG
ZGHA,2025-01-01 13:00,ZGHA 011300Z 04001MPS 6000 NSC 09/01 Q1021 NOSIG
ZGHA,2025-01-01 14:00,ZGHA 011400Z 03002MPS 6000 NSC 08/01 Q1021 NOSIG
ZGHA,2025-01-01 15:00,ZGHA 011500Z 04001MPS 6000 NSC 07/01 Q1022 NOSIG
ZGHA,2025-01-01 16:00,ZGHA 011600Z 05001MPS 6000 NSC 07/01 Q1022 NOSIG
ZGHA,2025-01-01 17:00,ZGHA 011700Z 03001MPS 6000 NSC 06/01 Q1022 NOSIG
ZGHA,2025-01-01 18:00,ZGHA 011800Z 02002MPS 6000 NSC 05/01 Q1022 NOSIG
ZGHA,2025-01-01 19:00,ZGHA 011900Z 02001MPS 6000 NSC 04/01 Q1022 NOSIG
ZGHA,2025-01-01 20:00,ZGHA 012000Z 02002MPS 6000 NSC 03/00 Q1022 NOSIG
ZGHA,2025-01-01 21:00,ZGHA 012100Z 36002MPS 8000 NSC 03/M00 Q1022 NOSIG
ZGHA,2025-01-01 22:00,ZGHA 012200Z 01002MPS 8000 NSC 04/M00 Q1023 NOSIG
ZGHA,2025-01-01 23:00,ZGHA 012300Z 36002MPS 8000 NSC 04/M01 Q1024 NOSIG
ZGHA,2025-01-02 00:00,ZGHA 020000Z 08001MPS 8000 NSC 03/M00 Q1025 NOSIG
ZGHA,2025-01-02 01:00,ZGHA 020100Z 06002MPS 4000 BR NSC 05/01 Q1026 NOSIG
ZGHA,2025-01-02 02:00,ZGHA 020200Z 02002MPS 4000 HZ NSC 08/03 Q1027 NOSIG
ZGHA,2025-01-02 03:00,ZGHA 020300Z 01003MPS 5000 HZ NSC 11/02 Q1026 NOSIG
ZGHA,2025-01-02 04:00,ZGHA 020400Z 01004MPS 7000 NSC 14/00 Q1025 NOSIG
ZGHA,2025-01-02 05:00,ZGHA 020500Z 35004MPS 8000 NSC 17/M02 Q1023 NOSIG
ZGHA,2025-01-02 06:00,ZGHA 020600Z 33004MPS 300V010 8000 NSC 18/M03 Q1022 NOSIG
ZGHA,2025-01-02 07:00,ZGHA 020700Z 32005MPS CAVOK 19/M03 Q1023 NOSIG
ZGHA,2025-01-02 08:00,ZGHA 020800Z 30006MPS 5000 HZ NSC 17/01 Q1023 NOSIG
ZGHA,2025-01-02 09:00,ZGHA 020900Z 31006MPS 5000 HZ NSC 15/00 Q1023 NOSIG
ZGHA,2025-01-02 10:00,ZGHA 021000Z 35005MPS 6000 NSC 13/01 Q1024 NOSIG
ZGHA,2025-01-02 11:00,ZGHA 021100Z 34004MPS 7000 NSC 12/M00 Q1024 NOSIG
ZGHA,2025-01-02 12:00,ZGHA 021200Z 33005MPS 7000 NSC 11/M00 Q1025 NOSIG
ZGHA,2025-01-02 13:00,ZGHA 021300Z 33004MPS 7000 NSC 11/00 Q1026 NOSIG
ZGHA,2025-01-02 14:00,ZGHA 021400Z 33004MPS 6000 NSC 10/01 Q1027 NOSIG
ZGHA,2025-01-02 15:00,ZGHA 021500Z 34003MPS 6000 NSC 07/00 Q1027 NOSIG
ZGHA,2025-01-02 16:00,ZGHA 021600Z 33003MPS 6000 NSC 08/M00 Q1027 NOSIG
ZGHA,2025-01-02 17:00,ZGHA 021700Z 34003MPS 5000 HZ NSC 07/M00 Q1028 NOSIG
ZGHA,2025-01-02 18:00,ZGHA 021800Z 02002MPS 5000 HZ NSC 05/00 Q1028 NOSIG
ZGHA,2025-01-02 19:00,ZGHA 021900Z 02002MPS 4000 BR NSC 04/00 Q1028 NOSIG
ZGHA,2025-01-02 20:00,ZGHA 022000Z 36003MPS 4000 BR NSC 03/M00 Q1027 NOSIG
ZGHA,2025-01-02 21:00,ZGHA 022100Z 01003MPS 7000 NSC 03/M00 Q1027 NOSIG
ZGHA,2025-01-02 22:00,ZGHA 022200Z 02003MPS 7000 NSC 03/M01 Q1027 NOSIG
ZGHA,2025-01-02 23:00,ZGHA 022300Z 01004MPS 3500 BR NSC 03/M01 Q1028 NOSIG
