station,valid,metar
ZGKL,1983-01-01 00:00,ZGKL 010000Z AUTO 02008KT 4SM 10/04 RMK SLP206 T00960039 52019 IEM_DS3505
ZGKL,1983-01-01 03:00,ZGKL 010300Z AUTO 02012KT 4SM 11/03 RMK SLP221 T01080032 52015 IEM_DS3505
ZGKL,1983-01-01 06:00,ZGKL 010600Z AUTO 02016KT 4SM 12/04 RMK SLP201 T01190036 4////0094 57020 IEM_DS3505
ZGKL,1983-01-01 09:00,ZGKL 010900Z AUTO 02012KT 4SM 11/04 RMK SLP206 T01080041 52005 IEM_DS3505
ZGKL,1983-01-01 12:00,ZGKL 011200Z AUTO 02014KT 4SM 10/03 RMK SLP237 T00980034 52029 IEM_DS3505
ZGKL,1983-01-01 15:00,ZGKL 011500Z AUTO 02014KT 4SM 09/04 RMK SLP250 T00890039 52013 IEM_DS3505
ZGKL,1983-01-01 18:00,ZGKL 011800Z AUTO 02012KT 4SM 08/04 RMK SLP255 T00820037 40119//// 52005 IEM_DS3505
ZGKL,1983-01-01 21:00,ZGKL 012100Z AUTO 02014KT 5SM 08/04 RMK SLP255 T00810037 54000 IEM_DS3505
ZGKL,1983-01-02 00:00,ZGKL 020000Z AUTO 02010KT 9SM 07/03 RMK SLP272 T00700026 52016 IEM_DS3505
ZGKL,1983-01-02 03:00,ZGKL 020300Z AUTO 02019KT 9SM 10/02 RMK SLP285 T01020024 52014 IEM_DS3505
ZGKL,1983-01-02 06:00,ZGKL 020600Z AUTO 02016KT 9SM 12/03 RMK SLP252 T01160030 4////0069 57033 IEM_DS3505
ZGKL,1983-01-02 09:00,ZGKL 020900Z AUTO 02012KT 9SM 12/03 RMK SLP255 T01160030 52003 IEM_DS3505
ZGKL,1983-01-02 12:00,ZGKL 021200Z AUTO 02014KT 7SM 08/03 RMK SLP276 T00810028 52019 IEM_DS3505
ZGKL,1983-01-02 15:00,ZGKL 021500Z AUTO 04012KT 7SM 08/03 RMK SLP276 T00760028 52001 IEM_DS3505
ZGKL,1983-01-02 18:00,ZGKL 021800Z AUTO 02014KT 6SM 07/03 RMK SLP280 T00680026 40121//// 52005 IEM_DS3505
ZGKL,1983-01-02 21:00,ZGKL 022100Z AUTO 04004KT 6SM 06/03 RMK SLP270 T00570028 57011 IEM_DS3505
ZGKL,1983-01-03 00:00,ZGKL 030000Z AUTO 02004KT 6SM 06/03 RMK SLP288 T00560030 52017 IEM_DS3505
ZGKL,1983-01-03 03:00,ZGKL 030300Z AUTO 04008KT 6SM 09/02 RMK SLP289 T00900024 52002 IEM_DS3505
ZGKL,1983-01-03 06:00,ZGKL 030600Z AUTO 02006KT 6SM 11/04 RMK SLP244 T01120036 4////0049 57045 IEM_DS3505
ZGKL,1983-01-03 09:00,ZGKL 030900Z AUTO 02010KT 6SM 11/04 RMK SLP234 T01100037 57010 IEM_DS3505
ZGKL,1983-01-03 12:00,ZGKL 031200Z AUTO 02008KT 4SM 09/05 RMK SLP251 T00920048 52016 IEM_DS3505
ZGKL,1983-01-03 15:00,ZGKL 031500Z AUTO 02010KT 4SM 08/05 RMK SLP255 T00790054 52005 IEM_DS3505
ZGKL,1983-01-03 18:00,ZGKL 031800Z AUTO 02008KT 4SM 07/05 RMK 60024 SLP230 T00730054 40120//// 57023 IEM_DS3505
ZGKL,1983-01-03 21:00,ZGKL 032100Z AUTO 02008KT 4SM 07/06 RMK SLP219 T00680059 57012 IEM_DS3505
ZGKL,1983-01-04 00:00,ZGKL 040000Z AUTO 02012KT 4SM 07/06 RMK 60031 70055 SLP239 T00720064 52019 IEM_DS3505
ZGKL,1983-01-04 03:00,ZGKL 040300Z AUTO 02010KT 6SM 08/07 RMK SLP254 T00820069 52014 IEM_DS3505
ZGKL,1983-01-04 06:00,ZGKL 040600Z AUTO 02012KT 9SM 09/07 RMK 60039 SLP229 T00880067 4////0068 57024 IEM_DS3505
ZGKL,1983-01-04 09:00,ZGKL 040900Z AUTO 02010KT 9SM 09/06 RMK SLP239 T00870064 52009 IEM_DS3505
ZGKL,1983-01-04 12:00,ZGKL 041200Z AUTO 02014KT 11SM 08/06 RMK 60004 SLP257 T00820062 52018 IEM_DS3505
ZGKL,1983-01-04 15:00,ZGKL 041500Z AUTO 02014KT 12SM 08/05 RMK SLP252 T00780053 57005 IEM_DS3505
ZGKL,1983-01-04 18:00,ZGKL 041800Z AUTO 02014KT 11SM 08/05 RMK 60000 SLP248 T00750049 40090//// 57003 IEM_DS3505
ZGKL,1983-01-04 21:00,ZGKL 042100Z AUTO 02012KT 11SM 07/04 RMK SLP238 T00710041 57011 IEM_DS3505
ZGKL,1983-01-05 00:00,ZGKL 050000Z AUTO 02008KT 9SM 07/04 RMK 60000 SLP253 T00680044 52015 IEM_DS3505
ZGKL,1983-01-05 03:00,ZGKL 050300Z AUTO 02012KT 10SM 09/04 RMK SLP256 T00870041 52004 IEM_DS3505
ZGKL,1983-01-05 06:00,ZGKL 050600Z AUTO 02006KT 10SM 10/04 RMK SLP226 T01010044 4////0067 57029 IEM_DS3505
ZGKL,1983-01-05 09:00,ZGKL 050900Z AUTO 04004KT 9SM 11/05 RMK SLP217 T01090053 57009 IEM_DS3505
ZGKL,1983-01-05 12:00,ZGKL 051200Z AUTO 04008KT 9SM 09/05 RMK SLP227 T00870049 52009 IEM_DS3505
ZGKL,1983-01-05 15:00,ZGKL 051500Z AUTO 02006KT 6SM 08/05 RMK SLP232 T00770053 52006 IEM_DS3505
ZGKL,1983-01-05 18:00,ZGKL 051800Z AUTO 00000KT 7SM 08/06 RMK SLP223 T00810057 40111//// 57008 IEM_DS3505
ZGKL,1983-01-05 21:00,ZGKL 052100Z AUTO 00000KT 7SM 08/06 RMK SLP211 T00790057 57012 IEM_DS3505
ZGKL,1983-01-06 00:00,ZGKL 060000Z AUTO 00000KT 5SM 08/06 RMK SLP222 T00800060 52010 IEM_DS3505
ZGKL,1983-01-06 03:00,ZGKL 060300Z AUTO 04004KT 5SM 11/06 RMK SLP229 T01060056 52008 IEM_DS3505
ZGKL,1983-01-06 05:00,ZGKL 060500Z AUTO 00000KT 7SM 13/08 RMK SLP180 T01270078 57015 IEM_DS3505
ZGKL,1983-01-06 06:00,ZGKL 060600Z AUTO 00000KT 6SM 12/07 RMK SLP196 T01240069 4////0076 57032 IEM_DS3505
ZGKL,1983-01-06 09:00,ZGKL 060900Z AUTO 00000KT 7SM 13/08 RMK SLP180 T01270078 57015 IEM_DS3505
ZGKL,1983-01-06 12:00,ZGKL 061200Z AUTO 00000KT 12/09 RMK SLP193 T01220093 52012 IEM_DS3505
ZGKL,1983-01-06 15:00,ZGKL 061500Z AUTO 04002KT 4SM 11/10 RMK SLP205 T01090103 52012 IEM_DS3505
ZGKL,1983-01-06 18:00,ZGKL 061800Z AUTO 36008KT 2 1/2SM 10/10 RMK 60004 SLP193 T01050096 40128//// 57012 IEM_DS3505
ZGKL,1983-01-06 21:00,ZGKL 062100Z AUTO 02006KT 2 1/2SM 10/10 RMK SLP191 T01010095 57002 IEM_DS3505
ZGKL,1983-01-07 00:00,ZGKL 070000Z AUTO 02010KT 3SM 10/09 RMK 60004 70008 SLP215 T01040086 52024 IEM_DS3505
ZGKL,1983-01-07 03:00,ZGKL 070300Z AUTO 02019KT 12SM 11/08 RMK SLP224 T01140075 52009 IEM_DS3505
