station,valid,metar
ZGMX,1961-01-01 00:00,ZGMX 010000Z AUTO 00000KT 16SM 07/04 RMK SLP258 T00720039 52005 IEM_DS3505
ZGMX,1961-01-01 03:00,ZGMX 010300Z AUTO 00000KT 14SM 09/05 RMK SLP262 T00890050 51004 IEM_DS3505
ZGMX,1961-01-01 06:00,ZGMX 010600Z AUTO 00000KT 16SM 12/05 RMK SLP232 T01220050 56029 IEM_DS3505
ZGMX,1961-01-01 09:00,ZGMX 010900Z AUTO 00000KT 16SM 12/06 RMK SLP232 T01220061 54000 IEM_DS3505
ZGMX,1961-01-01 12:00,ZGMX 011200Z AUTO 00000KT 9SM 10/09 RMK 60001 SLP236 T01000089 52004 IEM_DS3505
ZGMX,1961-01-01 15:00,ZGMX 011500Z AUTO 00000KT 9SM 10/09 RMK SLP236 T01000089 52001 IEM_DS3505
ZGMX,1961-01-01 18:00,ZGMX 011800Z AUTO 36002KT 9SM 10/08 RMK 60004 SLP236 T01000078 54000 IEM_DS3505
ZGMX,1961-01-01 21:00,ZGMX 012100Z AUTO 00000KT 9SM 09/09 RMK SLP232 T00890089 57004 IEM_DS3505
ZGMX,1961-01-02 00:00,ZGMX 020000Z AUTO 04004KT 5SM 10/09 RMK 60004 70008 SLP234 T01000089 52002 IEM_DS3505
ZGMX,1961-01-02 03:00,ZGMX 020300Z AUTO 36004KT 19SM 12/10 RMK SLP227 T01220100 58007 IEM_DS3505
ZGMX,1961-01-02 06:00,ZGMX 020600Z AUTO 34006KT 19SM 15/11 RMK 60002 SLP186 T01500111 57040 IEM_DS3505
ZGMX,1961-01-02 09:00,ZGMX 020900Z AUTO 34004KT 19SM 16/12 RMK SLP179 T01610122 56007 IEM_DS3505
ZGMX,1961-01-02 12:00,ZGMX 021200Z AUTO 00000KT 15/13 RMK SLP180 T01500128 53001 IEM_DS3505
ZGMX,1961-01-02 15:00,ZGMX 021500Z AUTO 09006KT 16/11 RMK SLP175 T01610111 56005 IEM_DS3505
ZGMX,1961-01-02 18:00,ZGMX 021800Z AUTO 36004KT 9SM 16/12 RMK SLP169 T01610122 57005 IEM_DS3505
ZGMX,1961-01-02 21:00,ZGMX 022100Z AUTO 00000KT 10SM 15/11 RMK SLP162 T01500111 57007 IEM_DS3505
