station,valid,metar
ZGNN,2025-01-01 00:00,ZGNN 010000Z 00000MPS 2300 BR NSC 08/08 Q1020 BECMG TL0050 3200
ZGNN,2025-01-01 01:00,ZGNN 010100Z 00000MPS 3200 BR NSC 11/09 Q1020 NOSIG
ZGNN,2025-01-01 02:00,ZGNN 010200Z VRB01MPS 4000 HZ NSC 14/09 Q1020 NOSIG
ZGNN,2025-01-01 03:00,ZGNN 010300Z VRB01MPS 5000 HZ NSC 18/09 Q1020 NOSIG
ZGNN,2025-01-01 04:00,ZGNN 010400Z VRB02MPS 6000 NSC 20/07 Q1020 NOSIG
ZGNN,2025-01-01 05:00,ZGNN 010500Z VRB01MPS 6000 NSC 21/08 Q1018 NOSIG
ZGNN,2025-01-01 06:00,ZGNN 010600Z VRB01MPS 7000 NSC 23/08 Q1017 NOSIG
ZGNN,2025-01-01 07:00,ZGNN 010700Z 15002MPS 070V240 7000 NSC 23/08 Q1015 NOSIG
ZGNN,2025-01-01 08:00,ZGNN 010800Z VRB01MPS 8000 NSC 22/08 Q1015 NOSIG
ZGNN,2025-01-01 09:00,ZGNN 010900Z 12003MPS 080V150 9000 NSC 22/09 Q1015 NOSIG
ZGNN,2025-01-01 10:00,ZGNN 011000Z 10002MPS CAVOK 21/08 Q1015 NOSIG
ZGNN,2025-01-01 11:00,ZGNN 011100Z VRB01MPS CAVOK 19/09 Q1015 NOSIG
ZGNN,2025-01-01 12:00,ZGNN 011200Z VRB01MPS 7000 NSC 15/09 Q1016 NOSIG
ZGNN,2025-01-01 13:00,ZGNN 011300Z VRB01MPS 7000 NSC 14/10 Q1017 NOSIG
ZGNN,2025-01-01 14:00,ZGNN 011400Z 36002MPS 320V040 7000 NSC 14/10 Q1017 NOSIG
ZGNN,2025-01-01 15:00,ZGNN 011500Z VRB01MPS 7000 NSC 13/10 Q1018 NOSIG
ZGNN,2025-01-01 16:00,ZGNN 011600Z VRB01MPS 5000 BR NSC 12/09 Q1018 NOSIG
ZGNN,2025-01-01 17:00,ZGNN 011700Z 02001MPS 5000 BR NSC 12/10 Q1018 NOSIG
ZGNN,2025-01-01 18:00,ZGNN 011800Z 05002MPS 5000 BR NSC 11/09 Q1018 NOSIG
ZGNN,2025-01-01 19:00,ZGNN 011900Z 04001MPS 5000 BR NSC 11/10 Q1018 NOSIG
ZGNN,2025-01-01 20:00,ZGNN 012000Z 03002MPS 5000 BR NSC 11/09 Q1018 NOSIG
ZGNN,2025-01-01 21:00,ZGNN 012100Z VRB01MPS 5000 BR NSC 10/10 Q1018 NOSIG
ZGNN,2025-01-01 22:00,ZGNN 012200Z 00000MPS 5000 BR NSC 10/09 Q1018 NOSIG
ZGNN,2025-01-01 23:00,ZGNN 012300Z 00000MPS 4500 BR NSC 10/09 Q1019 NOSIG
ZGNN,2025-01-02 00:00,ZGNN 020000Z VRB01MPS 2800 BR NSC 10/09 Q1020 BECMG TL0110 3600
ZGNN,2025-01-02 01:00,ZGNN 020100Z 05001MPS 4000 BR NSC 13/10 Q1021 NOSIG
ZGNN,2025-01-02 02:00,ZGNN 020200Z VRB01MPS 4000 HZ NSC 17/10 Q1021 NOSIG
ZGNN,2025-01-02 03:00,ZGNN 020300Z 08002MPS 040V130 6000 NSC 19/10 Q1021 NOSIG
ZGNN,2025-01-02 04:00,ZGNN 020400Z 07002MPS 020V100 7000 NSC 21/09 Q1020 NOSIG
ZGNN,2025-01-02 05:00,ZGNN 020500Z 06002MPS 020V120 CAVOK 22/09 Q1019 NOSIG
ZGNN,2025-01-02 06:00,ZGNN 020600Z VRB02MPS CAVOK 23/09 Q1018 NOSIG
ZGNN,2025-01-02 07:00,ZGNN 020700Z VRB02MPS CAVOK 24/09 Q1017 NOSIG
ZGNN,2025-01-02 08:00,ZGNN 020800Z 10002MPS 030V150 CAVOK 24/09 Q1017 NOSIG
ZGNN,2025-01-02 09:00,ZGNN 020900Z 07002MPS CAVOK 23/08 Q1017 NOSIG
ZGNN,2025-01-02 10:00,ZGNN 021000Z 05002MPS CAVOK 21/09 Q1017 NOSIG
ZGNN,2025-01-02 11:00,ZGNN 021100Z VRB01MPS CAVOK 18/10 Q1018 NOSIG
ZGNN,2025-01-02 12:00,ZGNN 021200Z 00000MPS CAVOK 17/10 Q1019 NOSIG
ZGNN,2025-01-02 13:00,ZGNN 021300Z 35002MPS CAVOK 16/11 Q1020 NOSIG
ZGNN,2025-01-02 14:00,ZGNN 021400Z VRB01MPS CAVOK 15/10 Q1020 NOSIG
ZGNN,2025-01-02 15:00,ZGNN 021500Z 00000MPS CAVOK 14/11 Q1021 NOSIG
ZGNN,2025-01-02 16:00,ZGNN 021600Z 22001MPS 7000 NSC 14/10 Q1021 NOSIG
ZGNN,2025-01-02 17:00,ZGNN 021700Z 22001MPS 7000 NSC 13/11 Q1021 NOSIG
ZGNN,2025-01-02 18:00,ZGNN 021800Z 23002MPS 5000 BR NSC 12/11 Q1021 NOSIG
ZGNN,2025-01-02 19:00,ZGNN 021900Z 26001MPS 5000 BR NSC 12/11 Q1021 NOSIG
ZGNN,2025-01-02 20:00,ZGNN 022000Z VRB01MPS 5000 BR NSC 11/10 Q1021 NOSIG
ZGNN,2025-01-02 21:00,ZGNN 022100Z VRB01MPS 5000 BR NSC 10/09 Q1021 NOSIG
ZGNN,2025-01-02 22:00,ZGNN 022200Z 30001MPS 4500 BR NSC 10/09 Q1021 NOSIG
ZGNN,2025-01-02 23:00,ZGNN 022300Z VRB01MPS 3500 BR NSC 10/10 Q1022 BECMG TL2350 2800
ZGNN,2025-01-03 00:00,ZGNN 030000Z VRB01MPS 2200 BR NSC 10/10 Q1023 BECMG TL0110 3500
ZGNN,2025-01-03 01:00,ZGNN 030100Z 22002MPS 210V280 2200 R05/1400N BR NSC 12/11 Q1024 BECMG TL0240 3500
ZGNN,2025-01-03 02:00,ZGNN 030200Z VRB01MPS 2500 BR NSC 16/11 Q1025 BECMG TL0320 3200
ZGNN,2025-01-03 03:00,ZGNN 030300Z VRB01MPS 5000 HZ NSC 19/07 Q1024 NOSIG
ZGNN,2025-01-03 04:00,ZGNN 030400Z 06002MPS 020V130 7000 NSC 20/08 Q1023 NOSIG
ZGNN,2025-01-03 05:00,ZGNN 030500Z 06003MPS 030V100 CAVOK 21/07 Q1022 NOSIG
ZGNN,2025-01-03 06:00,ZGNN 030600Z 35003MPS 310V080 CAVOK 23/08 Q1020 NOSIG
ZGNN,2025-01-03 07:00,ZGNN 030700Z 34003MPS 300V020 CAVOK 24/08 Q1020 NOSIG
ZGNN,2025-01-03 08:00,ZGNN 030800Z 03003MPS 360V060 CAVOK 23/06 Q1019 NOSIG
ZGNN,2025-01-03 09:00,ZGNN 030900Z 01003MPS 340V040 CAVOK 22/07 Q1018 NOSIG
ZGNN,2025-01-03 10:00,ZGNN 031000Z VRB01MPS CAVOK 21/08 Q1018 NOSIG
ZGNN,2025-01-03 11:00,ZGNN 031100Z 36002MPS 330V030 CAVOK 17/09 Q1019 NOSIG
ZGNN,2025-01-03 12:00,ZGNN 031200Z VRB01MPS 8000 NSC 16/09 Q1019 NOSIG
ZGNN,2025-01-03 13:00,ZGNN 031300Z 36002MPS 310V050 7000 NSC 15/08 Q1019 NOSIG
ZGNN,2025-01-03 14:00,ZGNN 031400Z VRB01MPS 7000 NSC 14/08 Q1020 NOSIG
ZGNN,2025-01-03 15:00,ZGNN 031500Z 00000MPS 7000 NSC 12/08 Q1021 NOSIG
ZGNN,2025-01-03 16:00,ZGNN 031600Z VRB01MPS 7000 NSC 12/08 Q1021 NOSIG
ZGNN,2025-01-03 17:00,ZGNN 031700Z 00000MPS 6000 NSC 10/07 Q1020 NOSIG
ZGNN,2025-01-03 18:00,ZGNN 031800Z VRB01MPS 6000 NSC 11/07 Q1020 NOSIG
ZGNN,2025-01-03 19:00,ZGNN 031900Z 35001MPS 6000 NSC 09/07 Q1020 NOSIG
ZGNN,2025-01-03 20:00,ZGNN 032000Z 00000MPS 6000 NSC 09/07 Q1020 NOSIG
ZGNN,2025-01-03 21:00,ZGNN 032100Z 00000MPS 5000 BR NSC 08/07 Q1019 NOSIG
ZGNN,2025-01-03 22:00,ZGNN 032200Z VRB01MPS 5000 BR NSC 08/07 Q1019 NOSIG
ZGNN,2025-01-03 23:00,ZGNN 032300Z 00000MPS 5000 BR NSC 08/06 Q1021 NOSIG
ZGNN,2025-01-04 00:00,ZGNN 040000Z 03002MPS 5000 BR NSC 09/06 Q1021 NOSIG
ZGNN,2025-01-04 01:00,ZGNN 040100Z 04002MPS 5000 HZ NSC 12/06 Q1022 NOSIG
ZGNN,2025-01-04 02:00,ZGNN 040200Z 07004MPS 6000 NSC 15/04 Q1022 NOSIG
ZGNN,2025-01-04 03:00,ZGNN 040300Z 08005MPS 070V130 7000 NSC 17/02 Q1021 NOSIG
ZGNN,2025-01-04 04:00,ZGNN 040400Z 05002MPS 010V080 7000 NSC 19/03 Q1021 NOSIG
ZGNN,2025-01-04 05:00,ZGNN 040500Z VRB02MPS 7000 NSC 20/04 Q1019 NOSIG
ZGNN,2025-01-04 06:00,ZGNN 040600Z 17002MPS 090V260 CAVOK 22/03 Q1018 NOSIG
ZGNN,2025-01-04 07:00,ZGNN 040700Z VRB01MPS CAVOK 22/05 Q1017 NOSIG
ZGNN,2025-01-04 08:00,ZGNN 040800Z 10002MPS 040V200 CAVOK 22/05 Q1016 NOSIG
ZGNN,2025-01-04 09:00,ZGNN 040900Z 12003MPS 080V170 CAVOK 21/05 Q1017 NOSIG
ZGNN,2025-01-04 10:00,ZGNN 041000Z 08003MPS CAVOK 20/05 Q1017 NOSIG
ZGNN,2025-01-04 11:00,ZGNN 041100Z 01002MPS 350V050 CAVOK 17/06 Q1018 NOSIG
ZGNN,2025-01-04 12:00,ZGNN 041200Z 02002MPS CAVOK 16/06 Q1020 NOSIG
ZGNN,2025-01-04 13:00,ZGNN 041300Z VRB01MPS CAVOK 15/07 Q1021 NOSIG
ZGNN,2025-01-04 14:00,ZGNN 041400Z 09002MPS 060V160 CAVOK 18/06 Q1022 NOSIG
ZGNN,2025-01-04 15:00,ZGNN 041500Z VRB01MPS CAVOK 15/07 Q1022 NOSIG
ZGNN,2025-01-04 16:00,ZGNN 041600Z 01002MPS CAVOK 13/08 Q1022 NOSIG
ZGNN,2025-01-04 17:00,ZGNN 041700Z 35002MPS CAVOK 13/07 Q1023 NOSIG
ZGNN,2025-01-04 18:00,ZGNN 041800Z VRB01MPS CAVOK 13/07 Q1023 NOSIG
ZGNN,2025-01-04 19:00,ZGNN 041900Z 00000MPS CAVOK 13/08 Q1023 NOSIG
ZGNN,2025-01-04 20:00,ZGNN 042000Z 22001MPS CAVOK 13/08 Q1022 NOSIG
ZGNN,2025-01-04 21:00,ZGNN 042100Z 22001MPS 6000 NSC 12/09 Q1022 NOSIG
ZGNN,2025-01-04 22:00,ZGNN 042200Z VRB01MPS 6000 NSC 12/08 Q1023 NOSIG
ZGNN,2025-01-04 23:00,ZGNN 042300Z 28002MPS 6000 NSC 12/08 Q1023 NOSIG
ZGNN,2025-01-05 00:00,ZGNN 050000Z VRB01MPS 6000 NSC 11/08 Q1024 NOSIG
ZGNN,2025-01-05 01:00,ZGNN 050100Z VRB01MPS 6000 NSC 14/08 Q1024 NOSIG
ZGNN,2025-01-05 02:00,ZGNN 050200Z VRB01MPS 6000 NSC 17/07 Q1024 NOSIG
ZGNN,2025-01-05 03:00,ZGNN 050300Z 36005MPS 320V040 8000 NSC 20/05 Q1023 NOSIG
ZGNN,2025-01-05 04:00,ZGNN 050400Z 01005MPS 330V040 8000 NSC 20/06 Q1022 NOSIG
ZGNN,2025-01-05 05:00,ZGNN 050500Z 35004MPS 320V020 CAVOK 22/07 Q1021 NOSIG
ZGNN,2025-01-05 06:00,ZGNN 050600Z 02004MPS 330V050 CAVOK 21/06 Q1019 NOSIG
ZGNN,2025-01-05 07:00,ZGNN 050700Z 36003MPS 300V070 CAVOK 22/07 Q1018 NOSIG
ZGNN,2025-01-05 08:00,ZGNN 050800Z 35004MPS 320V020 CAVOK 22/06 Q1018 NOSIG
ZGNN,2025-01-05 09:00,ZGNN 050900Z 01003MPS 340V060 CAVOK 21/07 Q1017 NOSIG
ZGNN,2025-01-05 10:00,ZGNN 051000Z 05003MPS CAVOK 19/07 Q1017 NOSIG
ZGNN,2025-01-05 11:00,ZGNN 051100Z 36002MPS 340V040 CAVOK 17/08 Q1018 NOSIG
ZGNN,2025-01-05 12:00,ZGNN 051200Z 09002MPS CAVOK 17/07 Q1018 NOSIG
ZGNN,2025-01-05 13:00,ZGNN 051300Z 02002MPS 360V070 CAVOK 15/07 Q1019 NOSIG
