station,valid,metar
ZGOW,1956-08-20 00:00,ZGOW 200000Z AUTO 00000KT 4SM 28/25 RMK 60002 SLP111 T02780250 53008 IEM_DS3505
ZGOW,1956-08-20 03:00,ZGOW 200300Z AUTO 18004KT 7SM 31/25 RMK SLP118 T03110250 50006 IEM_DS3505
ZGOW,1956-08-20 06:00,ZGOW 200600Z AUTO 28010KT 25SM 32/26 RMK 60002 SLP101 T03220261 58017 IEM_DS3505
ZGOW,1956-08-20 12:00,ZGOW 201200Z AUTO 20010KT 10SM 28/24 RMK SLP103 T02780239 IEM_DS3505
ZGOW,1956-08-20 18:00,ZGOW 201800Z AUTO 22006KT 9SM 27/25 RMK SLP108 T02720250 58011 IEM_DS3505
ZGOW,1956-08-20 21:00,ZGOW 202100Z AUTO 00000KT 9SM 25/24 RMK SLP107 T02500239 55001 IEM_DS3505
ZGOW,1956-08-21 00:00,ZGOW 210000Z AUTO 22002KT 9SM 28/25 RMK SLP116 T02780250 53010 IEM_DS3505
ZGOW,1956-08-21 03:00,ZGOW 210300Z AUTO 20002KT 10SM 29/24 RMK SLP118 T02890239 50002 IEM_DS3505
ZGOW,1956-08-21 06:00,ZGOW 210600Z AUTO 16010KT 12SM 31/24 RMK 60002 SLP100 T03110239 58018 IEM_DS3505
ZGOW,1956-08-21 09:00,ZGOW 210900Z AUTO 18008KT 12SM 31/24 RMK SLP091 T03110239 58009 IEM_DS3505
ZGOW,1956-08-21 12:00,ZGOW 211200Z AUTO 20008KT 12SM 28/24 RMK SLP100 T02780239 52009 IEM_DS3505
ZGOW,1956-08-21 18:00,ZGOW 211800Z AUTO 25004KT 12SM 27/24 RMK SLP104 T02720239 58012 IEM_DS3505
ZGOW,1956-08-21 21:00,ZGOW 212100Z AUTO 25002KT 9SM 26/24 RMK SLP103 T02610239 55001 IEM_DS3505
ZGOW,1956-08-22 00:00,ZGOW 220000Z AUTO 25004KT 9SM 28/25 RMK SLP109 T02780250 52006 IEM_DS3505
ZGOW,1956-08-22 06:00,ZGOW 220600Z AUTO 18002KT 12SM 31/25 RMK 60020 SLP079 T03110250 59032 IEM_DS3505
ZGOW,1956-08-22 09:00,ZGOW 220900Z AUTO 22008KT 12SM 32/24 RMK SLP065 T03220239 56016 IEM_DS3505
ZGOW,1956-08-22 12:00,ZGOW 221200Z AUTO 20006KT 10SM 28/25 RMK SLP071 T02780250 52006 IEM_DS3505
ZGOW,1956-08-22 18:00,ZGOW 221800Z AUTO 25006KT 10SM 27/25 RMK SLP075 T02720250 58004 IEM_DS3505
ZGOW,1956-08-22 21:00,ZGOW 222100Z AUTO 22002KT 10SM 26/24 RMK SLP077 T02610239 53002 IEM_DS3505
ZGOW,1956-08-23 00:00,ZGOW 230000Z AUTO 25008KT 10SM 29/25 RMK 70020 SLP089 T02890250 53013 IEM_DS3505
ZGOW,1956-08-23 03:00,ZGOW 230300Z AUTO 25008KT 12SM 31/24 RMK SLP084 T03110239 59005 IEM_DS3505
ZGOW,1956-08-23 06:00,ZGOW 230600Z AUTO 25006KT 25SM 34/23 RMK SLP058 T03390228 58026 IEM_DS3505
ZGOW,1956-08-23 09:00,ZGOW 230900Z AUTO 22010KT 12SM 32/24 RMK SLP042 T03220239 56016 IEM_DS3505
ZGOW,1956-08-23 12:00,ZGOW 231200Z AUTO 25008KT 9SM 40/23 RMK SLP057 T04000228 52015 IEM_DS3505
ZGOW,1956-08-23 18:00,ZGOW 231800Z AUTO 25004KT 9SM 27/24 RMK SLP069 T02720239 59001 IEM_DS3505
ZGOW,1956-08-23 21:00,ZGOW 232100Z AUTO 27004KT 7SM 26/24 RMK SLP071 T02610239 52002 IEM_DS3505
ZGOW,1956-08-24 00:00,ZGOW 240000Z AUTO 27004KT 10SM 28/24 RMK SLP081 T02780239 52010 IEM_DS3505
ZGOW,1956-08-24 03:00,ZGOW 240300Z AUTO 25002KT 10SM 31/24 RMK SLP078 T03110239 59003 IEM_DS3505
ZGOW,1956-08-24 09:00,ZGOW 240900Z AUTO 18006KT 12SM 32/24 RMK SLP054 T03220239 59008 IEM_DS3505
ZGOW,1956-08-24 12:00,ZGOW 241200Z AUTO 16004KT 7SM 28/24 RMK SLP076 T02780239 52022 IEM_DS3505
ZGOW,1956-08-24 18:00,ZGOW 241800Z AUTO 00000KT 7SM 26/25 RMK SLP084 T02610250 55003 IEM_DS3505
ZGOW,1956-08-24 21:00,ZGOW 242100Z AUTO 09004KT 5SM 25/25 RMK SLP087 T02500250 51003 IEM_DS3505
ZGOW,1956-08-25 00:00,ZGOW 250000Z AUTO 14002KT 10SM 27/25 RMK SLP102 T02720250 51015 IEM_DS3505
ZGOW,1956-08-25 03:00,ZGOW 250300Z AUTO 11008KT 10SM 29/26 RMK SLP105 T02890261 50002 IEM_DS3505
ZGOW,1956-08-25 06:00,ZGOW 250600Z AUTO 11008KT 12SM 30/26 RMK SLP093 T03000261 56012 IEM_DS3505
ZGOW,1956-08-25 09:00,ZGOW 250900Z AUTO 11008KT 12SM 29/24 RMK SLP086 T02890239 55006 IEM_DS3505
ZGOW,1956-08-25 18:00,ZGOW 251800Z AUTO 00000KT 9SM 25/24 RMK SLP108 T02500239 59005 IEM_DS3505
ZGOW,1956-08-25 21:00,ZGOW 252100Z AUTO 00000KT 5SM 25/25 RMK SLP109 T02500250 52001 IEM_DS3505
ZGOW,1956-08-26 06:00,ZGOW 260600Z AUTO 09008KT 12SM 31/25 RMK SLP093 T03110250 56017 IEM_DS3505
ZGOW,1956-08-26 09:00,ZGOW 260900Z AUTO 11008KT 12SM 29/25 RMK SLP087 T02890250 56006 IEM_DS3505
ZGOW,1956-08-26 12:00,ZGOW 261200Z AUTO 09010KT 10SM 28/25 RMK SLP099 T02780250 51012 IEM_DS3505
ZGOW,1956-08-26 18:00,ZGOW 261800Z AUTO 07004KT 6SM 27/25 RMK SLP097 T02720250 58013 IEM_DS3505
ZGOW,1956-08-26 21:00,ZGOW 262100Z AUTO 00000KT 4SM 26/25 RMK SLP093 T02610250 56003 IEM_DS3505
ZGOW,1956-08-27 00:00,ZGOW 270000Z AUTO 09004KT 5SM 28/26 RMK SLP102 T02780261 51009 IEM_DS3505
ZGOW,1956-08-27 03:00,ZGOW 270300Z AUTO 11006KT 25SM 30/25 RMK SLP101 T03000250 58002 IEM_DS3505
ZGOW,1956-08-27 06:00,ZGOW 270600Z AUTO 11008KT 25SM 31/25 RMK 60002 SLP081 T03110250 58019 IEM_DS3505
ZGOW,1956-08-27 12:00,ZGOW 271200Z AUTO 16008KT 12SM 28/25 RMK SLP076 T02780250 51006 IEM_DS3505
ZGOW,1956-08-27 21:00,ZGOW 272100Z AUTO 29004KT 6SM 26/25 RMK SLP073 T02610250 56006 IEM_DS3505
ZGOW,1956-08-28 00:00,ZGOW 280000Z AUTO 27006KT 7SM 28/25 RMK SLP083 T02780250 53010 IEM_DS3505
ZGOW,1956-08-28 03:00,ZGOW 280300Z AUTO 27006KT 9SM 32/26 RMK SLP080 T03220261 59003 IEM_DS3505
ZGOW,1956-08-28 06:00,ZGOW 280600Z AUTO 18006KT 10SM 33/26 RMK SLP062 T03280261 56019 IEM_DS3505
