station,valid,metar
ZGSZ,2000-01-01 00:00,ZGSZ 010000Z AUTO 04004KT 8SM 15/11 A3006 RMK SLP190 T01510114 52015 IEM_DS3505
ZGSZ,2000-01-01 01:00,ZGSZ 010100Z AUTO 34002KT 2 1/2SM 17/13 A3009 RMK T01700130 IEM_DS3505
ZGSZ,2000-01-01 02:00,ZGSZ 010200Z AUTO 34004KT 2SM 19/14 A3009 RMK T01900140 IEM_DS3505
ZGSZ,2000-01-01 03:00,ZGSZ 010300Z AUTO 04004KT 6SM 19/12 A3009 RMK SLP193 T01940118 52003 IEM_DS3505
ZGSZ,2000-01-01 04:00,ZGSZ 010400Z AUTO 27006KT 2SM 22/16 A3006 RMK T02200160 IEM_DS3505
ZGSZ,2000-01-01 05:00,ZGSZ 010500Z AUTO 30008KT 2 1/2SM 24/11 A3000 RMK T02400110 IEM_DS3505
ZGSZ,2000-01-01 06:00,ZGSZ 010600Z AUTO 02002KT 6SM 25/10 A2997 RMK SLP161 T02490102 57031 IEM_DS3505
ZGSZ,2000-01-01 07:00,ZGSZ 010700Z AUTO 29008KT 2SM 23/13 A2994 RMK T02300130 IEM_DS3505
ZGSZ,2000-01-01 08:00,ZGSZ 010800Z AUTO 30006KT 2 1/2SM 23/13 A2994 RMK T02300130 IEM_DS3505
ZGSZ,2000-01-01 09:00,ZGSZ 010900Z AUTO 22004KT 5SM 23/13 A2994 RMK SLP148 T02300128 57013 IEM_DS3505
ZGSZ,2000-01-01 10:00,ZGSZ 011000Z AUTO 18006KT 2 1/2SM 20/13 A2997 RMK T02000130 IEM_DS3505
ZGSZ,2000-01-01 11:00,ZGSZ 011100Z AUTO 17004KT 3SM 19/15 A3000 RMK T01900150 IEM_DS3505
ZGSZ,2000-01-01 12:00,ZGSZ 011200Z AUTO 17004KT 3SM 17/16 A3000 RMK T01700160 IEM_DS3505
ZGSZ,2000-01-01 13:00,ZGSZ 011300Z AUTO 14002KT 2 1/2SM 17/16 A3003 RMK T01700160 IEM_DS3505
ZGSZ,2000-01-01 14:00,ZGSZ 011400Z AUTO 15002KT 1 1/2SM 15/15 A3003 RMK T01500150 IEM_DS3505
ZGSZ,2000-01-01 15:00,ZGSZ 011500Z AUTO 11002KT 1 1/2SM 15/14 A3006 RMK T01500140 IEM_DS3505
ZGSZ,2000-01-01 16:00,ZGSZ 011600Z AUTO 00000KT 1 1/4SM 15/14 A3006 RMK T01500140 IEM_DS3505
ZGSZ,2000-01-01 17:00,ZGSZ 011700Z AUTO 02002KT 1 1/4SM 14/14 A3006 RMK T01400140 IEM_DS3505
ZGSZ,2000-01-01 18:00,ZGSZ 011800Z AUTO 04004KT 3SM 17/14 A3006 RMK SLP179 T01720135 52001 IEM_DS3505
ZGSZ,2000-01-01 19:00,ZGSZ 011900Z AUTO 36002KT 1 1/4SM 14/13 A3003 RMK T01400130 IEM_DS3505
ZGSZ,2000-01-01 20:00,ZGSZ 012000Z AUTO 03004KT 1 1/4SM 14/13 A3003 RMK T01400130 IEM_DS3505
ZGSZ,2000-01-01 21:00,ZGSZ 012100Z AUTO 04004KT 2 1/2SM 17/13 A3003 RMK SLP176 T01660132 57003 IEM_DS3505
ZGSZ,2000-01-01 22:00,ZGSZ 012200Z AUTO 01002KT 1 1/4SM 13/13 A3003 RMK T01300130 IEM_DS3505
ZGSZ,2000-01-01 23:00,ZGSZ 012300Z AUTO 30002KT 1 1/4SM 13/13 A3006 RMK T01300130 IEM_DS3505
ZGSZ,2000-01-02 00:00,ZGSZ 020000Z AUTO 04004KT 2 1/2SM 16/13 A3006 RMK SLP186 T01620130 52009 IEM_DS3505
ZGSZ,2000-01-02 01:00,ZGSZ 020100Z AUTO 00000KT 1 1/4SM 17/14 A3009 RMK T01700140 IEM_DS3505
ZGSZ,2000-01-02 02:00,ZGSZ 020200Z AUTO 27002KT 1 1/4SM 20/15 A3009 RMK T02000150 IEM_DS3505
ZGSZ,2000-01-02 03:00,ZGSZ 020300Z AUTO 04004KT 5SM 21/12 A3009 RMK SLP191 T02070122 52006 IEM_DS3505
ZGSZ,2000-01-02 04:00,ZGSZ 020400Z AUTO 28006KT 1 1/4SM 23/17 A3006 RMK T02300170 IEM_DS3505
ZGSZ,2000-01-02 05:00,ZGSZ 020500Z AUTO 28008KT 1 1/2SM 26/14 A3000 RMK T02600140 IEM_DS3505
ZGSZ,2000-01-02 06:00,ZGSZ 020600Z AUTO 02004KT 8SM 26/12 A2997 RMK SLP156 T02630117 57035 IEM_DS3505
ZGSZ,2000-01-02 07:00,ZGSZ 020700Z AUTO 27006KT 2 1/2SM 25/15 A2997 RMK T02500150 IEM_DS3505
ZGSZ,2000-01-02 08:00,ZGSZ 020800Z AUTO 25006KT 3SM 23/16 A2994 RMK T02300160 IEM_DS3505
ZGSZ,2000-01-02 09:00,ZGSZ 020900Z AUTO 11006KT 10SM 24/11 A2994 RMK SLP152 T02370106 57004 IEM_DS3505
ZGSZ,2000-01-02 10:00,ZGSZ 021000Z AUTO 16004KT 2SM 21/16 A2997 RMK T02100160 IEM_DS3505
ZGSZ,2000-01-02 11:00,ZGSZ 021100Z AUTO 17004KT 1 1/4SM 20/15 A3000 RMK T02000150 IEM_DS3505
ZGSZ,2000-01-02 12:00,ZGSZ 021200Z AUTO 14006KT 7SM 21/10 A3000 RMK SLP174 T02110096 52021 IEM_DS3505
ZGSZ,2000-01-02 13:00,ZGSZ 021300Z AUTO 17006KT 1 1/4SM 17/16 A3003 RMK T01700160 IEM_DS3505
ZGSZ,2000-01-02 14:00,ZGSZ 021400Z AUTO 17004KT 1 1/4SM 17/15 A3003 RMK T01700150 IEM_DS3505
