station,valid,metar
ZHCC,2008-01-01 00:00,ZHCC 010000Z AUTO 27002KT 10SM M01/M16 A3056 RMK SLP367 T10101164 52012 IEM_DS3505
ZHCC,2008-01-01 01:00,ZHCC 010100Z AUTO 36002KT 3SM 00/M14 A3059 RMK T00001140 IEM_DS3505
ZHCC,2008-01-01 02:00,ZHCC 010200Z AUTO 07004KT 5SM 01/M16 A3059 RMK T00101160 IEM_DS3505
ZHCC,2008-01-01 03:00,ZHCC 010300Z AUTO 32006KT 9SM 03/M18 A3059 RMK SLP372 T00311183 52006 IEM_DS3505
ZHCC,2008-01-01 04:00,ZHCC 010400Z AUTO 5SM 03/M17 A3056 RMK T00301170 IEM_DS3505
ZHCC,2008-01-01 05:00,ZHCC 010500Z AUTO 5SM 05/M17 A3053 RMK T00501170 IEM_DS3505
ZHCC,2008-01-01 06:00,ZHCC 010600Z AUTO 32006KT 11SM 05/M19 A3050 RMK SLP338 T00541192 57034 IEM_DS3505
ZHCC,2008-01-01 07:00,ZHCC 010700Z AUTO 33008KT 5SM 06/M16 A3047 RMK T00601160 IEM_DS3505
ZHCC,2008-01-01 08:00,ZHCC 010800Z AUTO 31008KT 6SM 05/M17 A3047 RMK T00501170 IEM_DS3505
ZHCC,2008-01-01 09:00,ZHCC 010900Z AUTO 27002KT 11SM 06/M19 A3047 RMK SLP334 T00571189 57004 IEM_DS3505
ZHCC,2008-01-01 10:00,ZHCC 011000Z AUTO 18004KT 6SM 03/M14 A3050 RMK T00301140 IEM_DS3505
ZHCC,2008-01-01 11:00,ZHCC 011100Z AUTO 18004KT 6SM 02/M13 A3047 RMK T00201130 IEM_DS3505
ZHCC,2008-01-01 12:00,ZHCC 011200Z AUTO 18004KT 9SM 02/M15 A3050 RMK SLP339 T00151150 52004 IEM_DS3505
ZHCC,2008-01-01 13:00,ZHCC 011300Z AUTO 19006KT 3SM M01/M13 A3050 RMK T10101130 IEM_DS3505
ZHCC,2008-01-01 14:00,ZHCC 011400Z AUTO 18006KT 3SM 00/M13 A3050 RMK T00001130 IEM_DS3505
ZHCC,2008-01-01 15:00,ZHCC 011500Z AUTO 16002KT 7SM M01/M13 A3050 RMK SLP343 T10131132 52004 IEM_DS3505
ZHCC,2008-01-01 16:00,ZHCC 011600Z AUTO 19006KT 3SM M01/M12 A3047 RMK T10101120 IEM_DS3505
ZHCC,2008-01-01 17:00,ZHCC 011700Z AUTO 22008KT M01/M12 RMK T10101120 IEM_DS3505
ZHCC,2008-01-01 18:00,ZHCC 011800Z AUTO 20002KT 7SM M04/M13 A3047 RMK SLP336 T10351132 57007 IEM_DS3505
ZHCC,2008-01-01 19:00,ZHCC 011900Z AUTO 18002KT M03/M12 RMK T10301120 IEM_DS3505
ZHCC,2008-01-01 20:00,ZHCC 012000Z AUTO 18004KT M03/M11 RMK T10301110 IEM_DS3505
ZHCC,2008-01-01 21:00,ZHCC 012100Z AUTO 18002KT 7SM M04/M12 A3042 RMK SLP319 T10411120 57017 IEM_DS3505
ZHCC,2008-01-01 22:00,ZHCC 012200Z AUTO 26002KT 6SM M05/M11 A3042 RMK T10501110 IEM_DS3505
ZHCC,2008-01-01 23:00,ZHCC 012300Z AUTO 6SM M05/M11 A3045 RMK T10501110 IEM_DS3505
ZHCC,2008-01-02 00:00,ZHCC 020000Z AUTO 20002KT 7SM M04/M12 A3045 RMK SLP323 T10431122 52003 IEM_DS3505
ZHCC,2008-01-02 01:00,ZHCC 020100Z AUTO 26002KT 3SM 00/M09 A3045 RMK T00001090 IEM_DS3505
ZHCC,2008-01-02 02:00,ZHCC 020200Z AUTO 25004KT 2SM 03/M11 A3045 RMK T00301110 IEM_DS3505
ZHCC,2008-01-02 03:00,ZHCC 020300Z AUTO 16004KT 6SM 07/M17 A3042 RMK SLP314 T00711170 57006 IEM_DS3505
ZHCC,2008-01-02 04:00,ZHCC 020400Z AUTO 22008KT 3SM 06/M11 A3039 RMK T00601110 IEM_DS3505
ZHCC,2008-01-02 05:00,ZHCC 020500Z AUTO 22010KT 3SM 07/M13 A3036 RMK T00701130 IEM_DS3505
ZHCC,2008-01-02 06:00,ZHCC 020600Z AUTO 22006KT 7SM 10/M18 A3033 RMK SLP275 T00961184 57039 IEM_DS3505
ZHCC,2008-01-02 07:00,ZHCC 020700Z AUTO 18012KT 4SM 08/M11 A3030 RMK T00801110 IEM_DS3505
ZHCC,2008-01-02 08:00,ZHCC 020800Z AUTO 18010KT 4SM 08/M10 A3030 RMK T00801100 IEM_DS3505
ZHCC,2008-01-02 09:00,ZHCC 020900Z AUTO 18008KT 9SM 08/M12 A3030 RMK SLP264 T00771121 57011 IEM_DS3505
ZHCC,2008-01-02 10:00,ZHCC 021000Z AUTO 18004KT 3SM 05/M10 A3030 RMK T00501100 IEM_DS3505
ZHCC,2008-01-02 11:00,ZHCC 021100Z AUTO 20004KT 3SM 04/M09 A3033 RMK T00401090 IEM_DS3505
ZHCC,2008-01-02 12:00,ZHCC 021200Z AUTO 18002KT 8SM 03/M10 A3033 RMK SLP284 T00331103 52018 IEM_DS3505
ZHCC,2008-01-02 13:00,ZHCC 021300Z AUTO 20004KT 2SM 03/M08 A3036 RMK T00301080 IEM_DS3505
ZHCC,2008-01-02 14:00,ZHCC 021400Z AUTO 2SM 01/M09 A3036 RMK T00101090 IEM_DS3505
