station,valid,metar
ZHHH,1988-01-01 00:00,ZHHH 010000Z AUTO 02008KT 1 1/4SM 10/M02 RMK SLP259 T00961020 4////0020 52015 IEM_DS3505
ZHHH,1988-01-01 03:00,ZHHH 010300Z AUTO 02010KT 1SM 10/M03 RMK SLP279 T00991031 52020 IEM_DS3505
ZHHH,1988-01-01 06:00,ZHHH 010600Z AUTO 04010KT 3SM 10/M02 RMK SLP273 T00961020 4////0073 57006 IEM_DS3505
ZHHH,1988-01-01 09:00,ZHHH 010900Z AUTO 04006KT 6SM 09/M01 RMK SLP273 T00901008 54000 IEM_DS3505
ZHHH,1988-01-01 12:00,ZHHH 011200Z AUTO 36004KT 8SM 08/01 RMK SLP289 T00780013 52016 IEM_DS3505
ZHHH,1988-01-01 15:00,ZHHH 011500Z AUTO 02004KT 12SM 07/01 RMK SLP297 T00680006 52008 IEM_DS3505
ZHHH,1988-01-01 18:00,ZHHH 011800Z AUTO 02002KT 7SM 06/00 RMK 60000 SLP294 T00580000 40102//// 57003 IEM_DS3505
ZHHH,1988-01-01 21:00,ZHHH 012100Z AUTO 32002KT 7SM 04/00 RMK SLP290 T00430000 57004 IEM_DS3505
ZHHH,1988-01-02 00:00,ZHHH 020000Z AUTO 00000KT 7SM 01/M01 RMK SLP295 T00081009 52004 IEM_DS3505
ZHHH,1988-01-02 03:00,ZHHH 020300Z AUTO 07004KT 8SM 07/M01 RMK SLP295 T00671007 52001 IEM_DS3505
ZHHH,1988-01-02 06:00,ZHHH 020600Z AUTO 20004KT 7SM 11/01 RMK SLP263 T01080014 4////0006 57032 IEM_DS3505
ZHHH,1988-01-02 09:00,ZHHH 020900Z AUTO 11002KT 6SM 10/03 RMK SLP246 T00960028 57017 IEM_DS3505
ZHHH,1988-01-02 12:00,ZHHH 021200Z AUTO 09004KT 6SM 07/04 RMK SLP257 T00670041 52010 IEM_DS3505
ZHHH,1988-01-02 15:00,ZHHH 021500Z AUTO 09004KT 6SM 06/04 RMK SLP258 T00620043 52002 IEM_DS3505
ZHHH,1988-01-02 18:00,ZHHH 021800Z AUTO 09004KT 7SM 06/04 RMK SLP257 T00590040 40114//// 57001 IEM_DS3505
ZHHH,1988-01-02 21:00,ZHHH 022100Z AUTO 04004KT 4SM 06/05 RMK SLP255 T00590047 57002 IEM_DS3505
ZHHH,1988-01-03 00:00,ZHHH 030000Z AUTO 09004KT 4SM 06/05 RMK SLP258 T00560049 52003 IEM_DS3505
ZHHH,1988-01-03 03:00,ZHHH 030300Z AUTO 36004KT 4SM 06/06 RMK SLP262 T00640055 52004 IEM_DS3505
ZHHH,1988-01-03 06:00,ZHHH 030600Z AUTO 34004KT 4SM 06/05 RMK 60002 SLP249 T00640054 4////0048 57013 IEM_DS3505
ZHHH,1988-01-03 09:00,ZHHH 030900Z AUTO 02006KT 2SM 06/06 RMK SLP245 T00630059 57004 IEM_DS3505
ZHHH,1988-01-03 12:00,ZHHH 031200Z AUTO 00000KT 2 1/2SM 06/05 RMK 60001 SLP260 T00630052 52015 IEM_DS3505
ZHHH,1988-01-03 15:00,ZHHH 031500Z AUTO 02002KT 2 1/2SM 06/05 RMK SLP269 T00620054 52009 IEM_DS3505
ZHHH,1988-01-03 18:00,ZHHH 031800Z AUTO 32004KT 4SM 06/04 RMK SLP278 T00560042 40070//// 52008 IEM_DS3505
ZHHH,1988-01-03 21:00,ZHHH 032100Z AUTO 04008KT 6SM 05/03 RMK SLP276 T00520027 57002 IEM_DS3505
ZHHH,1988-01-04 00:00,ZHHH 040000Z AUTO 36010KT 7SM 05/02 RMK SLP300 T00510023 52024 IEM_DS3505
ZHHH,1988-01-04 03:00,ZHHH 040300Z AUTO 02010KT 7SM 05/03 RMK SLP321 T00510026 52021 IEM_DS3505
ZHHH,1988-01-04 06:00,ZHHH 040600Z AUTO 36008KT 4SM 05/02 RMK SLP320 T00500017 4////0040 57001 IEM_DS3505
ZHHH,1988-01-04 09:00,ZHHH 040900Z AUTO 36006KT 4SM 05/01 RMK SLP337 T00480012 52017 IEM_DS3505
ZHHH,1988-01-04 12:00,ZHHH 041200Z AUTO 04012KT 7SM 04/M01 RMK SLP351 T00371010 52014 IEM_DS3505
ZHHH,1988-01-04 15:00,ZHHH 041500Z AUTO 34002KT 7SM 02/M01 RMK SLP362 T00251006 52011 IEM_DS3505
ZHHH,1988-01-04 18:00,ZHHH 041800Z AUTO 00000KT 7SM 01/M02 RMK SLP364 T00081016 40059//// 52002 IEM_DS3505
ZHHH,1988-01-04 21:00,ZHHH 042100Z AUTO 00000KT 7SM M00/M02 RMK SLP363 T10041022 57001 IEM_DS3505
ZHHH,1988-01-05 00:00,ZHHH 050000Z AUTO 36002KT 2SM M01/M03 RMK SLP372 T10081027 52009 IEM_DS3505
ZHHH,1988-01-05 03:00,ZHHH 050300Z AUTO 04006KT 4SM 04/M02 RMK SLP373 T00351023 52001 IEM_DS3505
ZHHH,1988-01-05 06:00,ZHHH 050600Z AUTO 07006KT 9SM 07/M02 RMK SLP343 T00711023 4////1012 57030 IEM_DS3505
ZHHH,1988-01-05 09:00,ZHHH 050900Z AUTO 04002KT 9SM 07/M02 RMK SLP331 T00721018 57012 IEM_DS3505
ZHHH,1988-01-05 12:00,ZHHH 051200Z AUTO 00000KT 7SM 02/M01 RMK SLP328 T00201010 57003 IEM_DS3505
ZHHH,1988-01-05 15:00,ZHHH 051500Z AUTO 09002KT 9SM 02/M02 RMK SLP326 T00241016 57002 IEM_DS3505
ZHHH,1988-01-05 18:00,ZHHH 051800Z AUTO 07004KT 9SM 01/M02 RMK SLP308 T00141015 40080//// 57018 IEM_DS3505
ZHHH,1988-01-05 21:00,ZHHH 052100Z AUTO 07002KT 7SM M00/M01 RMK SLP285 T10021011 57023 IEM_DS3505
ZHHH,1988-01-06 00:00,ZHHH 060000Z AUTO 09002KT 1 1/4SM M01/M02 RMK SLP277 T10061023 57008 IEM_DS3505
ZHHH,1988-01-06 03:00,ZHHH 060300Z AUTO 14004KT 6SM 05/M00 RMK SLP265 T00501004 57012 IEM_DS3505
ZHHH,1988-01-06 06:00,ZHHH 060600Z AUTO 18006KT 6SM 06/M02 RMK SLP231 T00581016 4////1012 57034 IEM_DS3505
ZHHH,1988-01-06 09:00,ZHHH 060900Z AUTO 18002KT 7SM 06/M00 RMK SLP221 T00621001 57010 IEM_DS3505
ZHHH,1988-01-06 12:00,ZHHH 061200Z AUTO 00000KT 6SM 05/02 RMK SLP226 T00510018 52005 IEM_DS3505
ZHHH,1988-01-06 15:00,ZHHH 061500Z AUTO 00000KT 6SM 05/01 RMK SLP241 T00480009 52015 IEM_DS3505
ZHHH,1988-01-06 18:00,ZHHH 061800Z AUTO 27002KT 9SM 04/01 RMK SLP236 T00400011 40066//// 57005 IEM_DS3505
ZHHH,1988-01-06 21:00,ZHHH 062100Z AUTO 27002KT 9SM 04/02 RMK SLP234 T00360021 57002 IEM_DS3505
ZHHH,1988-01-07 00:00,ZHHH 070000Z AUTO 27004KT 2SM 03/02 RMK SLP241 T00330017 52007 IEM_DS3505
ZHHH,1988-01-07 03:00,ZHHH 070300Z AUTO 25006KT 3SM 05/02 RMK SLP258 T00510015 52017 IEM_DS3505
ZHHH,1988-01-07 06:00,ZHHH 070600Z AUTO 22006KT 6SM 09/00 RMK SLP236 T00880002 4////0030 57021 IEM_DS3505
ZHHH,1988-01-07 09:00,ZHHH 070900Z AUTO 22004KT 6SM 09/01 RMK SLP239 T00880008 52003 IEM_DS3505
ZHHH,1988-01-07 12:00,ZHHH 071200Z AUTO 20004KT 6SM 06/03 RMK SLP249 T00550031 52009 IEM_DS3505
