station,valid,metar
ZJHK,2022-01-01 00:00,ZJHK 010000Z 05003MPS 9999 SCT020 18/16 Q1023 NOSIG
ZJHK,2022-01-01 01:00,ZJHK 010100Z 06005MPS CAVOK 20/17 Q1024 NOSIG
ZJHK,2022-01-01 02:00,ZJHK 010200Z 07006MPS 9999 BKN016 BKN026 21/17 Q1024 NOSIG
ZJHK,2022-01-01 03:00,ZJHK 010300Z 06007MPS 9999 BKN016 BKN026 21/17 Q1025 NOSIG
ZJHK,2022-01-01 04:00,ZJHK 010400Z 06007MPS 9999 SCT016 BKN026 23/17 Q1024 NOSIG
ZJHK,2022-01-01 05:00,ZJHK 010500Z 07006MPS 9999 SCT016 BKN026 23/18 Q1023 NOSIG
ZJHK,2022-01-01 06:00,ZJHK 010600Z 06007MPS 9999 SCT016 BKN026 22/17 Q1022 NOSIG
ZJHK,2022-01-01 07:00,ZJHK 010700Z 07007MPS 9999 SCT016 BKN026 21/17 Q1021 NOSIG
ZJHK,2022-01-01 08:00,ZJHK 010800Z 05007MPS 9999 SCT016 BKN026 21/17 Q1021 NOSIG
ZJHK,2022-01-01 09:00,ZJHK 010900Z 03006MPS 9999 BKN015 BKN026 20/17 Q1021 BECMG TL1000 BKN013 BKN026
ZJHK,2022-01-01 10:00,ZJHK 011000Z 04005MPS 8000 BKN013 BKN026 20/17 Q1022 BECMG AT1140 BKN015
ZJHK,2022-01-01 11:00,ZJHK 011100Z 05005MPS 8000 SCT014 SCT026 20/17 Q1022 NOSIG
ZJHK,2022-01-01 12:00,ZJHK 011200Z 04005MPS 8000 BKN023 20/17 Q1023 NOSIG
ZJHK,2022-01-01 13:00,ZJHK 011300Z 04005MPS 8000 SCT023 20/17 Q1023 NOSIG
ZJHK,2022-01-01 14:00,ZJHK 011400Z 05004MPS 9000 SCT020 20/17 Q1023 NOSIG
ZJHK,2022-01-01 15:00,ZJHK 011500Z 04004MPS 9000 NSC 20/17 Q1023 NOSIG
ZJHK,2022-01-01 16:00,ZJHK 011600Z 04004MPS 9000 NSC 20/17 Q1023 NOSIG
ZJHK,2022-01-01 17:00,ZJHK 011700Z 05004MPS 9000 FEW015 19/17 Q1023 NOSIG
ZJHK,2022-01-01 18:00,ZJHK 011800Z 04005MPS 8000 SCT013 19/17 Q1022 NOSIG
ZJHK,2022-01-01 19:00,ZJHK 011900Z 05004MPS 9000 BKN016 19/17 Q1022 NOSIG
ZJHK,2022-01-01 20:00,ZJHK 012000Z 04004MPS 9000 BKN016 19/16 Q1021 NOSIG
ZJHK,2022-01-01 21:00,ZJHK 012100Z 04004MPS 9000 SCT016 19/16 Q1021 NOSIG
ZJHK,2022-01-01 22:00,ZJHK 012200Z 05004MPS 9000 FEW016 19/16 Q1021 NOSIG
ZJHK,2022-01-01 23:00,ZJHK 012300Z 05004MPS 7000 SCT033 19/16 Q1022 NOSIG
ZJHK,2022-01-02 00:00,ZJHK 020000Z 06003MPS 6000 FEW016 19/16 Q1023 NOSIG
ZJHK,2022-01-02 01:00,ZJHK 020100Z 04004MPS 6000 SCT020 20/16 Q1024 NOSIG
ZJHK,2022-01-02 02:00,ZJHK 020200Z 06004MPS 7000 SCT020 21/16 Q1024 NOSIG
ZJHK,2022-01-02 03:00,ZJHK 020300Z 06005MPS 030V090 9999 BKN023 22/15 Q1024 NOSIG
ZJHK,2022-01-02 04:00,ZJHK 020400Z 07005MPS 040V100 9999 BKN023 22/16 Q1023 NOSIG
ZJHK,2022-01-02 05:00,ZJHK 020500Z 03005MPS 360V060 6000 BKN023 BKN033 21/17 Q1022 NOSIG
ZJHK,2022-01-02 06:00,ZJHK 020600Z 07005MPS 7000 BKN023 BKN033 22/15 Q1021 NOSIG
ZJHK,2022-01-02 07:00,ZJHK 020700Z 07005MPS 050V110 7000 BKN023 22/15 Q1020 NOSIG
ZJHK,2022-01-02 08:00,ZJHK 020800Z 06005MPS 7000 SCT026 22/15 Q1020 NOSIG
ZJHK,2022-01-02 09:00,ZJHK 020900Z 08006MPS 7000 FEW026 21/15 Q1020 NOSIG
ZJHK,2022-01-02 10:00,ZJHK 021000Z 07005MPS 7000 FEW026 20/16 Q1020 NOSIG
ZJHK,2022-01-02 11:00,ZJHK 021100Z 09004MPS 9000 NSC 18/15 Q1020 NOSIG
ZJHK,2022-01-02 12:00,ZJHK 021200Z 10002MPS 8000 NSC 18/15 Q1021 NOSIG
ZJHK,2022-01-02 13:00,ZJHK 021300Z VRB01MPS 6000 NSC 17/15 Q1022 NOSIG
ZJHK,2022-01-02 14:00,ZJHK 021400Z 13002MPS 6000 NSC 16/15 Q1022 NOSIG
ZJHK,2022-01-02 15:00,ZJHK 021500Z VRB01MPS 6000 NSC 15/14 Q1021 NOSIG
ZJHK,2022-01-02 16:00,ZJHK 021600Z VRB01MPS 5000 BR NSC 16/15 Q1022 NOSIG
ZJHK,2022-01-02 17:00,ZJHK 021700Z 00000MPS 5000 BR NSC 15/15 Q1021 NOSIG
ZJHK,2022-01-02 18:00,ZJHK 021800Z VRB01MPS 5000 BR NSC 15/14 Q1020 NOSIG
ZJHK,2022-01-02 19:00,ZJHK 021900Z 20001MPS 5000 BR NSC 14/14 Q1020 NOSIG
ZJHK,2022-01-02 20:00,ZJHK 022000Z VRB01MPS 4000 R09/0175V0400N R10/1700U BCFG BR NSC 13/13 Q1019 BECMG TL2140 2800
ZJHK,2022-01-02 21:00,ZJHK 022100Z 00000MPS 4000 R09/0275V0750U R10/P2000 BCFG BR NSC 14/13 Q1019 BECMG TL2140 2800
ZJHK,2022-01-02 22:00,ZJHK 022200Z 27001MPS 2800 R09/0325V0800D R10/P2000 BCFG BR FEW016 14/14 Q1019 BECMG AT2300 3000
ZJHK,2022-01-02 23:00,ZJHK 022300Z 00000MPS 3000 R09/0300V1200U R10/P2000 BCFG BR FEW023 13/13 Q1020 NOSIG
ZJHK,2022-01-03 00:00,ZJHK 030000Z 23001MPS 4000 BCFG BR SCT030 15/14 Q1020 NOSIG
ZJHK,2022-01-03 01:00,ZJHK 030100Z 00000MPS 7000 FEW023 18/18 Q1021 NOSIG
ZJHK,2022-01-03 02:00,ZJHK 030200Z 06004MPS 030V090 9999 FEW023 22/18 Q1021 NOSIG
ZJHK,2022-01-03 03:00,ZJHK 030300Z 06005MPS 030V090 9999 BKN023 23/17 Q1021 NOSIG
ZJHK,2022-01-03 04:00,ZJHK 030400Z 08007MPS 9999 BKN023 24/17 Q1020 NOSIG
ZJHK,2022-01-03 05:00,ZJHK 030500Z 07007MPS 040V100 9999 BKN023 SCT040 24/18 Q1019 NOSIG
ZJHK,2022-01-03 06:00,ZJHK 030600Z 08008MPS 9999 SCT023 BKN040 24/17 Q1018 NOSIG
ZJHK,2022-01-03 07:00,ZJHK 030700Z 07007MPS 9999 BKN023 SCT040 24/17 Q1017 NOSIG
ZJHK,2022-01-03 08:00,ZJHK 030800Z 08007MPS 9999 SCT023 SCT040 23/18 Q1017 NOSIG
ZJHK,2022-01-03 09:00,ZJHK 030900Z 09006MPS 9999 SCT023 23/17 Q1018 NOSIG
ZJHK,2022-01-03 10:00,ZJHK 031000Z 08006MPS 9999 FEW016 21/18 Q1018 NOSIG
ZJHK,2022-01-03 11:00,ZJHK 031100Z 08004MPS CAVOK 20/18 Q1019 NOSIG
ZJHK,2022-01-03 12:00,ZJHK 031200Z 09003MPS CAVOK 19/17 Q1019 NOSIG
ZJHK,2022-01-03 13:00,ZJHK 031300Z 10003MPS CAVOK 19/17 Q1020 NOSIG
ZJHK,2022-01-03 14:00,ZJHK 031400Z 10002MPS CAVOK 18/17 Q1020 NOSIG
ZJHK,2022-01-03 15:00,ZJHK 031500Z 11003MPS CAVOK 18/17 Q1020 NOSIG
ZJHK,2022-01-03 16:00,ZJHK 031600Z 11003MPS CAVOK 18/17 Q1019 NOSIG
ZJHK,2022-01-03 17:00,ZJHK 031700Z 10002MPS CAVOK 18/17 Q1019 NOSIG
ZJHK,2022-01-03 18:00,ZJHK 031800Z VRB01MPS 6000 NSC 17/16 Q1019 NOSIG
ZJHK,2022-01-03 19:00,ZJHK 031900Z 00000MPS 5000 BCFG BR NSC 16/16 Q1018 NOSIG
ZJHK,2022-01-03 20:00,ZJHK 032000Z 00000MPS 4000 R09/0550V1100D R10/P2000 BCFG BR SCT015 15/15 Q1018 BECMG TL2140 2800
ZJHK,2022-01-03 21:00,ZJHK 032100Z 27001MPS 2800 R09/0500V1900U R10/P2000 BCFG BR SCT015 16/16 Q1018 BECMG TL2240 3000
ZJHK,2022-01-03 22:00,ZJHK 032200Z 00000MPS 4000 BCFG BR SCT015 16/16 Q1018 NOSIG
ZJHK,2022-01-03 23:00,ZJHK 032300Z 25001MPS 3500 R09/0800V1300U R10/P2000 BCFG BR NSC 15/15 Q1018 NOSIG
ZJHK,2022-01-04 00:00,ZJHK 040000Z 00000MPS 3500 BCFG BR FEW023 16/16 Q1019 NOSIG
ZJHK,2022-01-04 01:00,ZJHK 040100Z 00000MPS 8000 FEW023 20/20 Q1019 NOSIG
