station,valid,metar
ZJSY,2007-01-01 00:00,ZJSY 010000Z 07003MPS 040V100 CAVOK 23/17 Q1016 NOSIG
ZJSY,2007-01-01 01:00,ZJSY 010100Z 07005MPS CAVOK 25/17 Q1016 NOSIG
ZJSY,2007-01-01 02:00,ZJSY 010200Z 07007MPS 040V100 CAVOK 27/18 Q1017 NOSIG
ZJSY,2007-01-01 03:00,ZJSY 010300Z 07008MPS 9999 FEW020 28/18 Q1017 NOSIG
ZJSY,2007-01-01 04:00,ZJSY 010400Z 09007MPS 9999 BKN018 28/18 Q1016 NOSIG
ZJSY,2007-01-01 05:00,ZJSY 010500Z 09008G13MPS 9999 SCT018 28/18 Q1015 NOSIG
ZJSY,2007-01-01 06:00,ZJSY 010600Z 09007MPS 9999 SCT018 28/19 Q1014 NOSIG
ZJSY,2007-01-01 07:00,ZJSY 010700Z 09007MPS 9999 SCT018 28/18 Q1013 NOSIG
ZJSY,2007-01-01 08:00,ZJSY 010800Z 09006MPS 9999 FEW018 27/19 Q1012 NOSIG
ZJSY,2007-01-01 09:00,ZJSY 010900Z 07006MPS 9999 FEW018 27/19 Q1013 NOSIG
ZJSY,2007-01-01 10:00,ZJSY 011000Z 09005MPS 9999 FEW018 26/20 Q1013 NOSIG
ZJSY,2007-01-01 11:00,ZJSY 011100Z 08005MPS 9999 FEW018 25/20 Q1013 NOSIG
ZJSY,2007-01-01 12:00,ZJSY 011200Z 10004MPS 9999 FEW018 24/20 Q1014 NOSIG
ZJSY,2007-01-01 13:00,ZJSY 011300Z 09003MPS 9999 FEW018 24/19 Q1015 NOSIG
ZJSY,2007-01-01 14:00,ZJSY 011400Z 08003MPS 9999 FEW018 23/19 Q1015 NOSIG
ZJSY,2007-01-01 15:00,ZJSY 011500Z 07002MPS 9999 FEW018 23/19 Q1015 NOSIG
ZJSY,2007-01-01 16:00,ZJSY 011600Z 06002MPS 9999 FEW018 22/19 Q1015 NOSIG
ZJSY,2007-01-01 17:00,ZJSY 011700Z 10001MPS 9999 FEW018 23/19 Q1015 NOSIG
ZJSY,2007-01-01 18:00,ZJSY 011800Z 07002MPS 9999 FEW018 22/19 Q1015 NOSIG
ZJSY,2007-01-01 20:00,ZJSY 012000Z 00000MPS 9999 FEW018 21/19 Q1014 NOSIG
ZJSY,2007-01-01 21:00,ZJSY 012100Z VRB01MPS 9999 SCT018 22/19 Q1014 NOSIG
ZJSY,2007-01-01 22:00,ZJSY 012200Z 06003MPS 9999 SCT018 23/19 Q1014 NOSIG
ZJSY,2007-01-01 23:00,ZJSY 012300Z 06003MPS 9999 BKN060 24/19 Q1014 NOSIG
ZJSY,2007-01-02 00:00,ZJSY 020000Z 06003MPS 9999 BKN060 25/19 Q1014 NOSIG
ZJSY,2007-01-02 01:00,ZJSY 020100Z 07003MPS 9999 BKN050 26/19 Q1015 NOSIG
ZJSY,2007-01-02 02:00,ZJSY 020200Z 07006MPS 9999 SCT050 28/20 Q1015 NOSIG
ZJSY,2007-01-02 03:00,ZJSY 020300Z 08005MPS 9999 FEW016 SCT053 28/19 Q1015 NOSIG
ZJSY,2007-01-02 04:00,ZJSY 020400Z 10005MPS 070V140 9999 FEW016 BKN053 28/20 Q1014 NOSIG
ZJSY,2007-01-02 05:00,ZJSY 020500Z 10006MPS 9999 SCT020 29/20 Q1013 NOSIG
ZJSY,2007-01-02 06:00,ZJSY 020600Z 11004MPS 070V150 9999 FEW020 SCT050 29/20 Q1012 NOSIG
ZJSY,2007-01-02 07:00,ZJSY 020700Z 10005MPS 070V130 9999 FEW020 29/20 Q1011 NOSIG
ZJSY,2007-01-02 08:00,ZJSY 020800Z 10004MPS 060V130 9999 SCT020 29/21 Q1011 NOSIG
ZJSY,2007-01-02 09:00,ZJSY 020900Z 10005MPS 9999 SCT018 27/20 Q1011 NOSIG
ZJSY,2007-01-02 10:00,ZJSY 021000Z 08004MPS 9999 SCT018 26/20 Q1011 NOSIG
ZJSY,2007-01-02 11:00,ZJSY 021100Z 08005MPS 9999 SCT018 24/21 Q1012 NOSIG
ZJSY,2007-01-02 12:00,ZJSY 021200Z 08004MPS 9999 FEW018 24/20 Q1013 NOSIG
ZJSY,2007-01-02 13:00,ZJSY 021300Z 09002MPS 9999 FEW018 24/20 Q1013 NOSIG
ZJSY,2007-01-02 14:00,ZJSY 021400Z 08003MPS 9999 FEW018 23/21 Q1013 NOSIG
ZJSY,2007-01-02 15:00,ZJSY 021500Z 09003MPS 9999 FEW018 BKN050 24/21 Q1014 NOSIG
ZJSY,2007-01-02 16:00,ZJSY 021600Z 07003MPS 9999 FEW018 SCT050 23/20 Q1013 NOSIG
ZJSY,2007-01-02 17:00,ZJSY 021700Z 08001MPS 9999 FEW016 23/20 Q1014 NOSIG
ZJSY,2007-01-02 18:00,ZJSY 021800Z 08002MPS 9999 FEW016 23/20 Q1013 NOSIG
ZJSY,2007-01-02 19:00,ZJSY 021900Z 00000MPS 9999 FEW016 22/20 Q1013 NOSIG
ZJSY,2007-01-02 20:00,ZJSY 022000Z VRB01MPS 9999 FEW016 23/20 Q1013 NOSIG
ZJSY,2007-01-02 21:00,ZJSY 022100Z 08002MPS 9999 SCT016 22/20 Q1013 NOSIG
ZJSY,2007-01-02 22:00,ZJSY 022200Z 09003MPS 9999 SCT016 23/21 Q1013 NOSIG
ZJSY,2007-01-02 23:00,ZJSY 022300Z 10002MPS 9999 SCT016 23/20 Q1014 NOSIG
ZJSY,2007-01-03 00:00,ZJSY 030000Z 08002MPS 9999 FEW016 BKN050 24/21 Q1014 NOSIG
ZJSY,2007-01-03 01:00,ZJSY 030100Z 09003MPS 060V130 9999 SCT016 BKN050 25/21 Q1015 NOSIG
ZJSY,2007-01-03 02:00,ZJSY 030200Z 10003MPS 9999 SCT016 BKN050 26/21 Q1015 NOSIG
ZJSY,2007-01-03 03:00,ZJSY 030300Z 09004MPS 060V120 9999 SCT016 BKN050 26/21 Q1015 NOSIG
ZJSY,2007-01-03 04:00,ZJSY 030400Z 08006MPS 050V120 9999 FEW016 28/21 Q1013 NOSIG
ZJSY,2007-01-03 05:00,ZJSY 030500Z 10005MPS 9999 FEW016 29/21 Q1012 NOSIG
ZJSY,2007-01-03 06:00,ZJSY 030600Z 11006MPS 9999 FEW016 28/21 Q1011 NOSIG
ZJSY,2007-01-03 07:00,ZJSY 030700Z 09006MPS 9999 FEW016 29/20 Q1011 NOSIG
ZJSY,2007-01-03 08:00,ZJSY 030800Z 10006MPS CAVOK 28/20 Q1011 NOSIG
ZJSY,2007-01-03 09:00,ZJSY 030900Z 09006MPS CAVOK 27/20 Q1011 NOSIG
ZJSY,2007-01-03 10:00,ZJSY 031000Z 09006MPS CAVOK 26/20 Q1012 NOSIG
ZJSY,2007-01-03 11:00,ZJSY 031100Z 08005MPS CAVOK 24/20 Q1012 NOSIG
ZJSY,2007-01-03 12:00,ZJSY 031200Z 08005MPS 9999 SCT016 24/20 Q1013 NOSIG
ZJSY,2007-01-03 13:00,ZJSY 031300Z 08005MPS 9999 SCT016 24/20 Q1014 NOSIG
ZJSY,2007-01-03 14:00,ZJSY 031400Z 08005MPS 9999 FEW016 BKN060 25/20 Q1014 NOSIG
ZJSY,2007-01-03 15:00,ZJSY 031500Z 07004MPS 9999 FEW016 BKN060 25/20 Q1014 NOSIG
ZJSY,2007-01-03 16:00,ZJSY 031600Z 07004MPS 9999 FEW016 BKN060 25/20 Q1014 NOSIG
ZJSY,2007-01-03 17:00,ZJSY 031700Z 09003MPS 9999 BKN060 25/20 Q1014 NOSIG
ZJSY,2007-01-03 18:00,ZJSY 031800Z 06003MPS 9999 BKN060 24/20 Q1014 NOSIG
ZJSY,2007-01-03 19:00,ZJSY 031900Z AUTO 06004MPS //// // ////// 25/20 Q1013
ZJSY,2007-01-03 20:00,ZJSY 032000Z AUTO 06004MPS //// // ////// 24/20 Q1013
ZJSY,2007-01-03 21:00,ZJSY 032100Z 08003MPS 9999 BKN060 24/20 Q1013 NOSIG
ZJSY,2007-01-03 22:00,ZJSY 032200Z 07003MPS 9999 BKN060 24/20 Q1014 NOSIG
ZJSY,2007-01-03 23:00,ZJSY 032300Z 07003MPS 9999 BKN060 24/19 Q1014 NOSIG
ZJSY,2007-01-04 00:00,ZJSY 040000Z 07003MPS CAVOK 25/20 Q1015 NOSIG
ZJSY,2007-01-04 01:00,ZJSY 040100Z 09003MPS 9999 FEW016 25/20 Q1016 NOSIG
ZJSY,2007-01-04 02:00,ZJSY 040200Z 08005MPS 9999 FEW016 BKN050 27/20 Q1016 NOSIG
ZJSY,2007-01-04 03:00,ZJSY 040300Z 07006MPS 9999 FEW016 BKN050 27/20 Q1016 NOSIG
ZJSY,2007-01-04 04:00,ZJSY 040400Z 08006MPS 050V120 9999 BKN060 28/20 Q1015 NOSIG
ZJSY,2007-01-04 05:00,ZJSY 040500Z 09007MPS 9999 BKN070 29/19 Q1014 NOSIG
ZJSY,2007-01-04 06:00,ZJSY 040600Z 07008MPS 9999 FEW016 29/19 Q1013 NOSIG
ZJSY,2007-01-04 07:00,ZJSY 040700Z 08007MPS 9999 FEW016 29/19 Q1012 NOSIG
ZJSY,2007-01-04 08:00,ZJSY 040800Z 08009MPS 9999 FEW016 28/19 Q1012 NOSIG
ZJSY,2007-01-04 09:00,ZJSY 040900Z 08008MPS 9999 FEW016 26/19 Q1013 NOSIG
ZJSY,2007-01-04 10:00,ZJSY 041000Z 08006MPS 9999 FEW016 SCT050 25/19 Q1014 NOSIG
ZJSY,2007-01-04 11:00,ZJSY 041100Z 07006MPS 9999 FEW020 SCT050 24/18 Q1014 NOSIG
ZJSY,2007-01-04 12:00,ZJSY 041200Z 06004MPS 9999 FEW020 BKN050 24/18 Q1015 NOSIG
ZJSY,2007-01-04 13:00,ZJSY 041300Z 08005MPS 9999 FEW020 BKN050 23/18 Q1016 NOSIG
ZJSY,2007-01-04 14:00,ZJSY 041400Z 06003MPS 9999 FEW020 BKN060 24/18 Q1016 NOSIG
ZJSY,2007-01-04 15:00,ZJSY 041500Z 07005MPS 040V110 9999 FEW020 BKN050 24/18 Q1016 NOSIG
ZJSY,2007-01-04 16:00,ZJSY 041600Z 06006MPS 9999 FEW020 BKN050 24/17 Q1016 NOSIG
ZJSY,2007-01-04 17:00,ZJSY 041700Z 06006MPS 9999 BKN050 24/17 Q1016 NOSIG
ZJSY,2007-01-04 18:00,ZJSY 041800Z 05007MPS 9999 SCT060 24/17 Q1015 NOSIG
ZJSY,2007-01-04 19:00,ZJSY 041900Z 06005MPS 9999 FEW066 23/17 Q1015 NOSIG
ZJSY,2007-01-04 20:00,ZJSY 042000Z 07004MPS 9999 BKN060 23/17 Q1015 NOSIG
ZJSY,2007-01-04 21:00,ZJSY 042100Z 08004MPS 9999 SCT070 22/17 Q1015 NOSIG
ZJSY,2007-01-04 22:00,ZJSY 042200Z 06005MPS 9999 FEW016 22/17 Q1015 NOSIG
ZJSY,2007-01-04 23:00,ZJSY 042300Z 06004MPS 9999 FEW016 23/16 Q1016 NOSIG
ZJSY,2007-01-05 00:00,ZJSY 050000Z 06006MPS 9999 FEW016 23/17 Q1017 NOSIG
ZJSY,2007-01-05 01:00,ZJSY 050100Z 05007MPS 9999 FEW016 24/17 Q1018 NOSIG
ZJSY,2007-01-05 02:00,ZJSY 050200Z 05008MPS 9999 FEW016 25/17 Q1018 NOSIG
ZJSY,2007-01-05 03:00,ZJSY 050300Z 05008MPS CAVOK 26/17 Q1018 NOSIG
ZJSY,2007-01-05 04:00,ZJSY 050400Z 04006MPS CAVOK 26/17 Q1018 NOSIG
ZJSY,2007-01-05 05:00,ZJSY 050500Z 04006MPS CAVOK 28/17 Q1016 NOSIG
ZJSY,2007-01-05 06:00,ZJSY 050600Z 07006MPS 040V100 9999 FEW018 28/17 Q1016 NOSIG
ZJSY,2007-01-05 07:00,ZJSY 050700Z 09007MPS 060V120 9999 FEW018 BKN050 27/17 Q1015 NOSIG
ZJSY,2007-01-05 08:00,ZJSY 050800Z 08006MPS 9999 FEW018 BKN050 26/17 Q1015 NOSIG
ZJSY,2007-01-05 09:00,ZJSY 050900Z 06005MPS 9999 FEW018 BKN050 26/16 Q1016 NOSIG
ZJSY,2007-01-05 10:00,ZJSY 051000Z 08005MPS 9999 FEW018 BKN050 24/16 Q1016 NOSIG
ZJSY,2007-01-05 11:00,ZJSY 051100Z 08006MPS 9999 FEW018 BKN050 23/16 Q1017 NOSIG
ZJSY,2007-01-05 12:00,ZJSY 051200Z 08006MPS 9999 FEW018 BKN050 22/16 Q1018 NOSIG
ZJSY,2007-01-05 13:00,ZJSY 051300Z 08005MPS 9999 FEW018 BKN050 22/16 Q1019 NOSIG
ZJSY,2007-01-05 14:00,ZJSY 051400Z 09006MPS 9999 FEW018 BKN050 21/16 Q1019 NOSIG
ZJSY,2007-01-05 15:00,ZJSY 051500Z 07005MPS 9999 FEW018 BKN050 21/16 Q1019 NOSIG
ZJSY,2007-01-05 16:00,ZJSY 051600Z 04005MPS 9999 FEW018 BKN050 22/15 Q1019 NOSIG
ZJSY,2007-01-05 17:00,ZJSY 051700Z 05007MPS 9999 FEW018 BKN050 22/15 Q1019 NOSIG
ZJSY,2007-01-05 18:00,ZJSY 051800Z 06007MPS 9999 FEW018 BKN050 22/15 Q1019 NOSIG
ZJSY,2007-01-05 19:00,ZJSY 051900Z 04006MPS 9999 FEW018 BKN050 21/15 Q1019 NOSIG
ZJSY,2007-01-05 20:00,ZJSY 052000Z 05005MPS 9999 FEW018 BKN050 22/15 Q1019 NOSIG
ZJSY,2007-01-05 21:00,ZJSY 052100Z 07004MPS 9999 FEW018 BKN050 22/15 Q1019 NOSIG
ZJSY,2007-01-05 22:00,ZJSY 052200Z 07003MPS 9999 FEW018 BKN050 21/14 Q1019 NOSIG
ZJSY,2007-01-05 23:00,ZJSY 052300Z 06004MPS 9999 BKN050 21/14 Q1019 NOSIG
ZJSY,2007-01-06 00:00,ZJSY 060000Z 07004MPS 9999 BKN050 21/14 Q1020 NOSIG
ZJSY,2007-01-06 01:00,ZJSY 060100Z 07004MPS 9999 BKN050 22/14 Q1021 NOSIG
ZJSY,2007-01-06 02:00,ZJSY 060200Z 07005MPS 030V090 CAVOK 23/14 Q1021 NOSIG
ZJSY,2007-01-06 03:00,ZJSY 060300Z 09004MPS 050V130 CAVOK 24/15 Q1021 NOSIG
ZJSY,2007-01-06 04:00,ZJSY 060400Z 10003MPS 070V140 CAVOK 24/15 Q1020 NOSIG
ZJSY,2007-01-06 05:00,ZJSY 060500Z 11005MPS CAVOK 24/14 Q1019 NOSIG
ZJSY,2007-01-06 06:00,ZJSY 060600Z 13003MPS 090V170 CAVOK 25/15 Q1018 NOSIG
ZJSY,2007-01-06 07:00,ZJSY 060700Z 12004MPS 090V160 CAVOK 24/14 Q1018 NOSIG
ZJSY,2007-01-06 08:00,ZJSY 060800Z 11004MPS CAVOK 24/14 Q1018 NOSIG
ZJSY,2007-01-06 09:00,ZJSY 060900Z 10004MPS 9999 SCT066 22/14 Q1018 NOSIG
ZJSY,2007-01-06 10:00,ZJSY 061000Z 09006MPS 9999 SCT017 BKN050 21/13 Q1019 NOSIG
ZJSY,2007-01-06 11:00,ZJSY 061100Z 08006MPS 5000 BR NSC 20/13 Q1020 NOSIG
ZJSY,2007-01-06 12:00,ZJSY 061200Z 09005MPS 060V120 5000 BR NSC 20/12 Q1021 NOSIG
ZJSY,2007-01-06 13:00,ZJSY 061300Z 09005MPS 5000 BR NSC 19/12 Q1021 NOSIG
ZJSY,2007-01-06 14:00,ZJSY 061400Z 08005MPS 5000 BR NSC 19/12 Q1021 NOSIG
ZJSY,2007-01-06 15:00,ZJSY 061500Z 08004MPS 5000 BR NSC 19/12 Q1022 NOSIG
ZJSY,2007-01-06 16:00,ZJSY 061600Z 08004MPS 5000 BR NSC 19/12 Q1022 NOSIG
ZJSY,2007-01-06 17:00,ZJSY 061700Z 08005MPS 5000 BR NSC 18/12 Q1022 NOSIG
ZJSY,2007-01-06 18:00,ZJSY 061800Z 08005MPS 5000 BR NSC 18/12 Q1021 NOSIG
ZJSY,2007-01-06 19:00,ZJSY 061900Z 08003MPS 5000 BR NSC 18/12 Q1021 NOSIG
ZJSY,2007-01-06 20:00,ZJSY 062000Z 08004MPS 5000 BR NSC 17/12 Q1021 NOSIG
