station,valid,metar
ZLIC,2008-01-01 00:00,ZLIC 010000Z AUTO 36004KT 19SM M14/M24 RMK SLP448 T11391235 52003 IEM_DS3505
ZLIC,2008-01-01 03:00,ZLIC 010300Z AUTO 36002KT 4SM M10/M20 RMK SLP448 T10991199 52006 IEM_DS3505
ZLIC,2008-01-01 06:00,ZLIC 010600Z AUTO 02002KT 7SM M04/M22 RMK SLP401 T10391225 57031 IEM_DS3505
ZLIC,2008-01-01 09:00,ZLIC 010900Z AUTO 02004KT 7SM M03/M24 RMK SLP383 T10341243 57017 IEM_DS3505
ZLIC,2008-01-01 12:00,ZLIC 011200Z AUTO 34004KT 7SM M07/M21 RMK SLP406 T10701213 52008 IEM_DS3505
ZLIC,2008-01-01 15:00,ZLIC 011500Z AUTO 34004KT 7SM M09/M19 RMK SLP390 T10921190 57009 IEM_DS3505
ZLIC,2008-01-01 18:00,ZLIC 011800Z AUTO 34004KT 7SM M12/M21 RMK SLP364 T11151211 57014 IEM_DS3505
ZLIC,2008-01-01 21:00,ZLIC 012100Z AUTO 36004KT 9SM M12/M20 RMK SLP346 T11251199 57017 IEM_DS3505
ZLIC,2008-01-02 00:00,ZLIC 020000Z AUTO 36002KT 7SM M14/M20 RMK SLP373 T11381199 52012 IEM_DS3505
ZLIC,2008-01-02 03:00,ZLIC 020300Z AUTO 20004KT 4SM M09/M20 RMK SLP381 T10861198 52014 IEM_DS3505
ZLIC,2008-01-02 06:00,ZLIC 020600Z AUTO 22002KT 7SM M02/M25 RMK SLP345 T10221254 57021 IEM_DS3505
ZLIC,2008-01-02 09:00,ZLIC 020900Z AUTO 16004KT 9SM M04/M23 RMK SLP359 T10351227 52006 IEM_DS3505
ZLIC,2008-01-02 12:00,ZLIC 021200Z AUTO 00000KT 9SM M07/M21 RMK SLP399 T10671207 52024 IEM_DS3505
ZLIC,2008-01-02 15:00,ZLIC 021500Z AUTO 34002KT 6SM M09/M18 RMK SLP394 T10871177 52004 IEM_DS3505
ZLIC,2008-01-02 18:00,ZLIC 021800Z AUTO 36004KT 7SM M11/M20 RMK SLP373 T11111195 57009 IEM_DS3505
ZLIC,2008-01-02 21:00,ZLIC 022100Z AUTO 00000KT 7SM M13/M20 RMK SLP368 T11311200 57012 IEM_DS3505
